iter	Passed	Remaining
0	163	163695
1	172	85989
2	185	61488
3	194	48368
4	202	40306
5	210	34892
6	218	30946
7	226	28026
8	233	25657
9	240	23847
10	248	22314
11	256	21102
12	263	20031
13	273	19268
14	282	18528
15	290	17871
16	299	17329
17	307	16780
18	318	16451
19	329	16141
20	340	15868
21	351	15609
22	361	15344
23	371	15092
24	383	14959
25	393	14753
26	402	14517
27	412	14304
28	421	14099
29	430	13906
30	438	13707
31	447	13534
32	455	13361
33	463	13165
34	470	12981
35	477	12796
36	485	12641
37	492	12472
38	499	12308
39	506	12162
40	513	12017
41	520	11875
42	528	11755
43	535	11640
44	546	11608
45	555	11521
46	564	11441
47	574	11399
48	584	11341
49	592	11258
50	600	11169
51	607	11081
52	614	10980
53	621	10890
54	628	10800
55	635	10715
56	642	10636
57	649	10554
58	656	10475
59	665	10419
60	673	10366
61	684	10359
62	692	10305
63	701	10256
64	708	10196
65	716	10135
66	722	10065
67	730	10011
68	737	9957
69	749	9960
70	758	9927
71	767	9891
72	774	9834
73	781	9775
74	788	9720
75	797	9697
76	805	9657
77	813	9621
78	824	9617
79	833	9580
80	840	9531
81	848	9499
82	859	9495
83	868	9468
84	877	9445
85	884	9405
86	896	9404
87	905	9387
88	914	9355
89	920	9306
90	927	9264
91	934	9223
92	941	9182
93	948	9143
94	955	9099
95	963	9069
96	972	9053
97	981	9036
98	990	9011
99	997	8980
100	1005	8947
101	1012	8918
102	1022	8903
103	1029	8873
104	1037	8839
105	1044	8805
106	1051	8774
107	1059	8747
108	1066	8717
109	1073	8684
110	1080	8654
111	1087	8624
112	1095	8596
113	1102	8570
114	1110	8545
115	1117	8515
116	1125	8492
117	1132	8463
118	1138	8431
119	1145	8403
120	1153	8376
121	1159	8346
122	1166	8314
123	1172	8285
124	1179	8257
125	1187	8234
126	1193	8205
127	1200	8180
128	1207	8156
129	1215	8134
130	1222	8108
131	1230	8091
132	1237	8066
133	1244	8044
134	1254	8040
135	1264	8033
136	1276	8038
137	1284	8023
138	1296	8032
139	1306	8025
140	1318	8032
141	1331	8045
142	1345	8064
143	1355	8054
144	1366	8057
145	1374	8038
146	1381	8018
147	1389	7999
148	1397	7983
149	1406	7969
150	1414	7952
151	1423	7940
152	1430	7921
153	1439	7908
154	1447	7892
155	1456	7877
156	1463	7859
157	1471	7844
158	1478	7822
159	1486	7805
160	1494	7789
161	1502	7771
162	1510	7757
163	1519	7746
164	1527	7730
165	1535	7715
166	1545	7709
167	1554	7699
168	1564	7693
169	1573	7681
170	1580	7663
171	1588	7648
172	1596	7632
173	1605	7620
174	1614	7610
175	1624	7607
176	1632	7592
177	1641	7578
178	1648	7561
179	1657	7549
180	1665	7533
181	1673	7519
182	1681	7505
183	1689	7492
184	1699	7487
185	1711	7489
186	1724	7498
187	1735	7495
188	1745	7488
189	1754	7481
190	1767	7488
191	1780	7492
192	1797	7515
193	1811	7527
194	1821	7517
195	1829	7506
196	1837	7491
197	1845	7475
198	1854	7464
199	1863	7452
200	1871	7440
201	1879	7423
202	1886	7407
203	1894	7392
204	1901	7374
205	1909	7361
206	1917	7347
207	1925	7332
208	1932	7314
209	1940	7300
210	1948	7286
211	1956	7271
212	1963	7255
213	1970	7238
214	1978	7223
215	1985	7204
216	1992	7188
217	1999	7172
218	2006	7155
219	2013	7138
220	2019	7119
221	2027	7105
222	2034	7089
223	2041	7073
224	2048	7057
225	2056	7043
226	2063	7026
227	2070	7009
228	2078	6996
229	2086	6984
230	2093	6968
231	2100	6953
232	2108	6940
233	2119	6937
234	2129	6933
235	2142	6934
236	2154	6937
237	2166	6937
238	2181	6946
239	2194	6948
240	2205	6947
241	2215	6937
242	2223	6926
243	2232	6916
244	2240	6904
245	2248	6893
246	2257	6881
247	2265	6870
248	2273	6858
249	2285	6855
250	2298	6859
251	2309	6854
252	2317	6843
253	2326	6831
254	2334	6820
255	2343	6809
256	2350	6796
257	2359	6786
258	2369	6777
259	2377	6766
260	2386	6757
261	2395	6747
262	2404	6738
263	2412	6726
264	2420	6714
265	2429	6703
266	2438	6693
267	2446	6681
268	2453	6667
269	2461	6655
270	2471	6647
271	2479	6637
272	2487	6624
273	2496	6615
274	2507	6609
275	2517	6603
276	2527	6596
277	2535	6585
278	2546	6580
279	2555	6571
280	2566	6567
281	2593	6603
282	2603	6596
283	2613	6590
284	2625	6587
285	2637	6584
286	2647	6577
287	2657	6570
288	2667	6562
289	2676	6552
290	2684	6541
291	2693	6531
292	2702	6520
293	2710	6509
294	2718	6497
295	2727	6486
296	2736	6477
297	2746	6470
298	2756	6461
299	2764	6450
300	2772	6437
301	2779	6425
302	2789	6415
303	2797	6405
304	2805	6392
305	2813	6380
306	2820	6367
307	2830	6360
308	2839	6349
309	2847	6338
310	2855	6327
311	2863	6314
312	2871	6303
313	2880	6292
314	2888	6282
315	2897	6272
316	2906	6262
317	2915	6251
318	2923	6240
319	2930	6228
320	2940	6220
321	2949	6210
322	2957	6199
323	2966	6188
324	2974	6177
325	2983	6168
326	2992	6158
327	3004	6155
328	3018	6155
329	3029	6150
330	3038	6140
331	3046	6129
332	3054	6118
333	3062	6106
334	3069	6092
335	3075	6078
336	3084	6067
337	3094	6060
338	3104	6053
339	3112	6042
340	3138	6065
341	3146	6054
342	3159	6051
343	3167	6041
344	3185	6046
345	3197	6043
346	3210	6042
347	3220	6033
348	3229	6023
349	3236	6011
350	3244	5998
351	3250	5984
352	3257	5970
353	3265	5958
354	3272	5945
355	3278	5930
356	3285	5917
357	3291	5903
358	3299	5890
359	3306	5877
360	3313	5864
361	3319	5851
362	3326	5837
363	3333	5824
364	3341	5812
365	3348	5799
366	3354	5786
367	3361	5772
368	3368	5760
369	3375	5747
370	3382	5734
371	3388	5721
372	3395	5707
373	3402	5695
374	3409	5682
375	3416	5669
376	3422	5656
377	3431	5646
378	3439	5635
379	3446	5623
380	3454	5611
381	3460	5599
382	3467	5586
383	3475	5575
384	3482	5563
385	3489	5551
386	3496	5538
387	3503	5525
388	3512	5516
389	3520	5506
390	3529	5497
391	3541	5493
392	3551	5484
393	3562	5478
394	3571	5470
395	3583	5466
396	3595	5461
397	3604	5451
398	3612	5440
399	3619	5428
400	3626	5416
401	3633	5405
402	3641	5394
403	3649	5383
404	3657	5373
405	3665	5362
406	3674	5353
407	3682	5342
408	3691	5333
409	3699	5323
410	3707	5312
411	3715	5302
412	3724	5293
413	3732	5283
414	3740	5272
415	3749	5263
416	3756	5252
417	3765	5242
418	3775	5235
419	3785	5227
420	3793	5217
421	3800	5205
422	3808	5194
423	3815	5182
424	3821	5170
425	3828	5158
426	3835	5146
427	3842	5135
428	3849	5123
429	3856	5111
430	3862	5099
431	3870	5088
432	3877	5077
433	3884	5065
434	3892	5055
435	3899	5044
436	3907	5033
437	3913	5021
438	3921	5010
439	3927	4998
440	3936	4989
441	3943	4978
442	3951	4968
443	3960	4959
444	3968	4949
445	3975	4938
446	3983	4928
447	3991	4918
448	3999	4908
449	4007	4897
450	4017	4890
451	4026	4881
452	4037	4875
453	4058	4881
454	4067	4872
455	4081	4869
456	4089	4859
457	4098	4849
458	4109	4844
459	4119	4836
460	4127	4825
461	4134	4814
462	4141	4803
463	4148	4791
464	4154	4780
465	4161	4769
466	4169	4758
467	4176	4747
468	4182	4735
469	4189	4724
470	4197	4714
471	4204	4702
472	4211	4692
473	4218	4681
474	4226	4671
475	4234	4660
476	4244	4653
477	4253	4644
478	4263	4637
479	4272	4628
480	4281	4619
481	4289	4609
482	4296	4598
483	4302	4587
484	4310	4576
485	4317	4566
486	4323	4554
487	4330	4543
488	4338	4533
489	4346	4523
490	4353	4513
491	4361	4503
492	4369	4494
493	4377	4483
494	4384	4472
495	4392	4463
496	4399	4452
497	4407	4442
498	4414	4432
499	4421	4421
500	4428	4410
501	4434	4399
502	4443	4390
503	4450	4379
504	4457	4368
505	4464	4358
506	4470	4347
507	4477	4336
508	4484	4326
509	4492	4316
510	4499	4305
511	4506	4295
512	4512	4283
513	4519	4273
514	4526	4262
515	4534	4253
516	4542	4243
517	4550	4233
518	4557	4223
519	4563	4212
520	4570	4202
521	4578	4192
522	4585	4182
523	4591	4171
524	4598	4160
525	4604	4149
526	4612	4139
527	4618	4128
528	4625	4118
529	4632	4107
530	4639	4097
531	4645	4086
532	4652	4076
533	4660	4066
534	4667	4056
535	4674	4046
536	4682	4037
537	4689	4027
538	4696	4017
539	4704	4007
540	4712	3998
541	4719	3988
542	4727	3979
543	4736	3970
544	4743	3960
545	4751	3950
546	4758	3940
547	4767	3932
548	4776	3923
549	4785	3915
550	4792	3905
551	4800	3896
552	4809	3887
553	4817	3878
554	4825	3869
555	4833	3859
556	4841	3850
557	4848	3840
558	4857	3831
559	4865	3822
560	4874	3814
561	4888	3809
562	4898	3802
563	4908	3794
564	4917	3786
565	4928	3779
566	4939	3772
567	4951	3766
568	4961	3757
569	4971	3750
570	4982	3743
571	4989	3733
572	4997	3724
573	5004	3714
574	5011	3703
575	5018	3693
576	5025	3684
577	5032	3674
578	5039	3664
579	5046	3654
580	5054	3644
581	5060	3634
582	5067	3624
583	5074	3614
584	5081	3604
585	5089	3595
586	5096	3585
587	5103	3575
588	5110	3565
589	5117	3556
590	5124	3546
591	5131	3536
592	5138	3526
593	5145	3517
594	5153	3507
595	5160	3497
596	5167	3487
597	5173	3478
598	5180	3468
599	5187	3458
600	5194	3448
601	5201	3438
602	5208	3429
603	5215	3419
604	5222	3409
605	5229	3400
606	5237	3390
607	5244	3381
608	5251	3371
609	5258	3361
610	5265	3352
611	5272	3342
612	5279	3332
613	5287	3323
614	5293	3313
615	5300	3304
616	5307	3294
617	5314	3285
618	5321	3275
619	5329	3266
620	5336	3256
621	5342	3246
622	5350	3237
623	5358	3228
624	5365	3219
625	5372	3209
626	5379	3200
627	5386	3190
628	5393	3180
629	5400	3171
630	5408	3162
631	5414	3153
632	5422	3143
633	5429	3134
634	5436	3125
635	5443	3115
636	5450	3106
637	5459	3097
638	5467	3088
639	5475	3079
640	5482	3070
641	5489	3061
642	5496	3051
643	5503	3042
644	5512	3033
645	5519	3024
646	5526	3014
647	5532	3005
648	5540	2996
649	5546	2986
650	5553	2977
651	5560	2967
652	5566	2958
653	5573	2948
654	5581	2939
655	5587	2930
656	5594	2920
657	5601	2911
658	5607	2901
659	5615	2892
660	5621	2883
661	5629	2874
662	5636	2865
663	5644	2856
664	5650	2846
665	5658	2837
666	5665	2828
667	5672	2819
668	5680	2810
669	5686	2801
670	5694	2791
671	5701	2782
672	5709	2773
673	5716	2764
674	5724	2756
675	5730	2746
676	5738	2737
677	5745	2728
678	5752	2719
679	5759	2710
680	5765	2700
681	5772	2691
682	5780	2682
683	5787	2673
684	5794	2664
685	5801	2655
686	5808	2646
687	5815	2637
688	5822	2628
689	5830	2619
690	5837	2610
691	5844	2601
692	5851	2592
