,Prediction
0,0.0
1,0.0
2,0.29278570215975264
3,67.97905951604963
4,331.36082572052493
5,870.1997894994419
6,1760.3058949015
7,2608.283151833319
8,2806.0765886100735
9,3181.8710702229223
10,3255.6163777695056
11,3190.2374480468116
12,2882.0574678919083
13,2741.9240088747188
14,2426.179352769151
15,1720.4897279959573
16,1201.4976758667729
17,676.1100349470806
18,254.64706191412816
19,21.037522078288994
20,1.8630598409083985
21,1.1278181605606454
22,2.5107674466653482
23,1.690616715603899
24,0.0
25,1.9972684071899889
26,3.3405050192388117
27,192.83052975071178
28,733.04528666096
29,1419.3213045043508
30,2112.5254557273074
31,2722.1252140241513
32,3688.0223995604797
33,4038.65197498072
34,3979.9581920367214
35,3925.37388200256
36,3680.4089525433133
37,3404.6393966628643
38,3181.313769552834
39,2525.552548194357
40,1646.5998192727614
41,848.111963834174
42,437.68991863480824
43,93.68816630516432
44,13.536431582975668
45,0.0
46,11.46868937085806
47,0.9560056296864824
48,0.0
49,0.0
50,21.862098819805887
51,307.6250434382468
52,665.2684000711648
53,1488.7046072035914
54,2556.0644132289103
55,3529.1484924648744
56,4037.3057584719736
57,4759.799313641799
58,4966.530340887078
59,4572.839562539125
60,4293.0083202982705
61,3908.056511201482
62,3138.0417051858863
63,2043.0619472276642
64,1265.762035221564
65,738.632425662276
66,363.6279404476597
67,113.52818188200625
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,16.874203061570526
75,154.347212040183
76,531.2529048872813
77,1173.5992158670874
78,2298.5933710985782
79,3501.3519393139773
80,4156.102137437436
81,3686.4164753527452
82,3362.3938429923205
83,3369.1593813631525
84,3173.8936688714916
85,2997.2880158350804
86,3034.03595106262
87,2582.0321299184675
88,1870.7532384297247
89,771.5662930903769
90,288.96473085789535
91,157.32711883541702
92,8.256216196823315
93,0.0
94,3.729004418900209
95,1.385851512491233
96,0.0
97,0.4513921154328504
98,69.5889325202688
99,293.3486661976961
100,559.8668622287106
101,1313.2578627450407
102,2787.0857679240085
103,3717.0791984311218
104,4591.314334348361
105,4713.914699151602
106,4795.748421152015
107,4904.5787024247475
108,4726.663216492104
109,4141.392306258001
110,3452.470823106141
111,3017.281953816981
112,1957.8834587754736
113,916.8523912006956
114,427.67115331283287
115,210.85884573810807
116,16.402694866644858
117,7.355610981238509
118,7.014426232157422
119,0.0
120,0.0
121,0.0
122,102.50856270984744
123,263.36226566955816
124,691.6936971886747
125,1564.6730551107757
126,2612.44180689286
127,3687.4414830091687
128,3984.86326556371
129,3813.091067290741
130,3820.2874250308714
131,3407.54703930524
132,3152.2936389935703
133,3315.622435445116
134,3095.723562584788
135,2315.093278831593
136,1515.6223374626888
137,806.8013933738761
138,414.4473410317886
139,205.0343748407844
140,17.505076359935323
141,1.2385825904302794
142,1.8194824949609836
143,0.0
144,0.0
145,1.964679740442549
146,129.7011466105705
147,288.4842192447094
148,742.9471611700664
149,1666.4226373829943
150,2723.9302996165284
151,3643.7598195508585
152,4105.267351084144
153,4387.250291286269
154,4266.203028197627
155,4235.894235254831
156,3724.740342720427
157,3310.425752149581
158,3015.0305059442203
159,2266.083550362328
160,1704.4355733443415
161,853.5599620175366
162,443.026254851253
163,174.1568156103871
164,14.842096370497082
165,4.457156827530591
166,0.0
167,0.4834605167650255
168,0.0
169,0.0
170,10.675191109662803
171,85.58642729091305
172,140.12896076373247
173,228.13199138906023
174,305.7133624844546
175,381.56163790946385
176,533.7765697760466
177,609.5670835923418
178,705.5116589786545
179,1230.8393185478608
180,1843.8860346120525
181,2406.494941218776
182,2144.601926021657
183,1855.7604246406597
184,1224.4822895996674
185,674.9710204480914
186,334.0325056565535
187,152.96180939600313
188,12.859813005713223
189,0.0
190,0.0
191,0.0
192,1.0130227089051471
193,1.839414351293225
194,66.15245853410023
195,185.62806852359444
196,427.94847295307903
197,887.3313888834118
198,1459.4416206979777
199,2187.2363012873916
200,1747.6719755454817
201,1935.8463391987639
202,2628.4460724279897
203,1992.058552491998
204,2380.9033121449315
205,2635.771547439749
206,2202.032884830376
207,1330.6481759907888
208,906.6062054558375
209,425.2182745408304
210,260.0927823632607
211,48.42032910653268
212,0.0
213,0.9576794857330178
214,1.0961650331197434
215,0.5566236192665365
216,1.7428979436466372
217,1.9106115922202886
218,23.10581212291499
219,130.5402639066331
220,185.06416521668555
221,314.3866756151308
222,816.2566196000668
223,1385.0574674625384
224,2362.2395048177173
225,2224.2393399894368
226,1896.4153127119873
227,1883.9249224545238
228,1328.2564623957358
229,1059.3726692668263
230,851.5227674069519
231,734.6547656630516
232,639.519107902759
233,316.8948229302591
234,229.430377026113
235,67.52852205976161
236,14.938758658848132
237,2.3802591109982685
238,0.0
239,1.1619676040786902
240,0.7160245241927147
241,4.6266676301593375
242,20.15890264832376
243,136.31595013710015
244,328.04863420941393
245,985.8630468726429
246,1453.6914490928302
247,2280.9072960195613
248,2347.0995627399698
249,1306.7604801866098
250,1151.644409161805
251,1380.55179256491
252,1863.3157891831365
253,1986.2932546581196
254,1990.5465023443296
255,2123.7859604163136
256,1622.465543840579
257,852.7379389531073
258,496.23575033464374
259,205.2672894936481
260,66.02905469612348
261,2.076669150692289
262,1.88628572840477
263,0.9362713429969407
264,0.0
265,1.0402692274972813
266,73.05521416243033
267,174.5325369281382
268,352.37871787802374
269,880.2691567921635
270,1199.018122743083
271,1520.4991033913643
272,1813.5703991198366
273,2074.072672038991
274,1966.9972892370597
275,1943.6070552728688
276,1801.956379657057
277,1605.4109108734256
278,1519.0742576063408
279,1086.2098078934296
280,768.2597632351212
281,419.2406875354309
282,214.28228551291954
283,86.24096824932305
284,10.279287619817092
285,5.262704924975493
286,5.16463365294689
287,6.656189350248315
288,0.0
289,8.883947345255654
290,82.52387719760112
291,168.48150980535436
292,461.8534994652137
293,859.2132343833596
294,1529.178873009891
295,2195.16760399982
296,2354.231904697142
297,2692.1344130886096
298,2739.6126157664517
299,2600.519057824086
300,2056.084752067889
301,1980.0237830179888
302,2211.9016320880255
303,1880.314404665663
304,1163.0860115697353
305,859.9297281210504
306,466.07212054579765
307,208.24435622680448
308,39.31553614629687
309,2.6584231936837037
310,0.0
311,0.0
312,0.0
313,1.5099208207476116
314,49.86562007262263
315,260.2126631755643
316,540.7312437885926
317,867.0269503390444
318,1494.6254742410765
319,2036.3790230063435
320,3159.8644421526324
321,3164.5768070672852
322,3090.2001708120006
323,2763.5898307670127
324,2411.6701088884483
325,2121.5093615136566
326,1611.1310007848142
327,1058.3730267289448
328,897.046653867219
329,441.68267609789933
330,212.08973463364075
331,115.88872286466612
332,21.44997183128285
333,1.7180584622101647
334,0.8929536566385929
335,0.0
336,1.7780576787969091
337,4.4664863428557515
338,18.960901926511287
339,105.04611098746543
340,256.1603204069316
341,543.5389145081491
342,912.1672156206175
343,1110.894232207823
