iter	MAE
0	981.0541229
1	956.8463679
2	932.9772457
3	911.3473725
4	888.5359974
5	867.1861443
6	846.7907227
7	827.6659682
8	809.2749469
9	790.6712364
10	773.602205
11	756.7581033
12	741.5848351
13	727.2298331
14	713.6781574
15	700.7165059
16	687.0840621
17	673.821136
18	661.8897622
19	650.5098417
20	638.5580041
21	627.1001951
22	617.1315649
23	606.9093706
24	596.9761929
25	588.4628196
26	579.4593374
27	570.3713336
28	561.7577497
29	553.3289973
30	544.946396
31	537.0954752
32	530.1107061
33	523.1964326
34	516.7385486
35	510.5661736
36	504.1663907
37	498.2376501
38	492.4178846
39	487.0951144
40	481.949087
41	476.611149
42	471.6799712
43	466.6646687
44	462.2374845
45	458.2174297
46	454.2343495
47	450.0826275
48	446.8416759
49	443.051118
50	439.2376109
51	435.6886839
52	432.4444022
53	429.1952311
54	426.0450786
55	422.4728919
56	419.3805256
57	416.4148569
58	413.8989183
59	411.0203412
60	408.4164823
61	405.8861145
62	403.7459765
63	401.2924177
64	398.9624183
65	396.2618655
66	394.4833549
67	392.5464272
68	390.5684098
69	388.5037481
70	386.6314334
71	384.9399675
72	383.5097866
73	381.9513052
74	380.1625175
75	378.6592766
76	376.8911099
77	375.4644742
78	374.0670826
79	372.6427441
80	371.162137
81	369.8787687
82	368.4826767
83	367.3956245
84	366.297663
85	365.2936086
86	364.429748
87	363.3720625
88	362.3283943
89	361.2508639
90	359.9014246
91	358.8599116
92	358.2400181
93	357.4333126
94	356.6112313
95	355.9365063
96	355.2265446
97	354.2899682
98	353.3819135
99	352.5653613
100	351.874277
101	351.2526496
102	350.7012167
103	350.0433333
104	349.3066629
105	348.7081854
106	348.1972235
107	347.5960555
108	346.9726495
109	346.4167816
110	345.8802465
111	345.0993236
112	344.7670023
113	344.2213758
114	343.723904
115	343.326341
116	342.6788728
117	342.0956904
118	341.8080795
119	341.2779915
120	340.9008563
121	340.40755
122	340.004748
123	339.7368718
124	339.2458624
125	338.8568814
126	338.6038492
127	338.3275276
128	338.0696188
129	337.7449584
130	337.4909165
131	337.1433726
132	336.7538127
133	336.4741723
134	336.138551
135	335.8455544
136	335.6167703
137	335.02766
138	334.8026286
139	334.4745169
140	334.1005941
141	333.922035
142	333.5659448
143	333.2662593
144	332.9240614
145	332.7882571
146	332.6158172
147	332.3619283
148	331.8681882
149	331.723732
150	331.4058601
151	331.1350267
152	330.8334614
153	330.6345472
154	330.3694225
155	329.971796
156	329.8631978
157	329.5562248
158	329.2812411
159	329.1414118
160	329.0250075
161	328.8508303
162	328.4409653
163	328.3176453
164	328.1292097
165	327.9112284
166	327.6979123
167	327.6394022
168	327.4705873
169	327.2643655
