iter	Passed	Remaining
0	66	1331562
1	124	1248069
2	183	1223546
3	246	1231791
4	307	1231400
5	373	1244919
6	445	1272126
7	505	1264480
8	564	1253721
9	620	1241066
10	679	1234329
11	738	1230388
12	799	1229065
13	859	1227215
14	923	1230833
15	979	1223682
16	1035	1216744
17	1090	1211115
18	1147	1206269
19	1181	1180682
20	1244	1184268
21	1311	1190624
22	1379	1197788
23	1438	1197299
24	1509	1206120
25	1585	1218176
26	1654	1223696
27	1720	1227061
28	1793	1234921
29	1858	1236840
30	1926	1240847
31	1993	1243698
32	2066	1250097
33	2137	1255219
34	2206	1258387
35	2275	1261621
36	2283	1232309
37	2359	1239473
38	2439	1248803
39	2511	1253080
40	2584	1257975
41	2650	1259626
42	2721	1262868
43	2791	1266159
44	2862	1269188
45	2869	1244832
46	2938	1247511
47	3011	1251802
48	3084	1255970
49	3157	1259781
50	3232	1264274
51	3301	1266563
52	3373	1269643
53	3444	1272299
54	3524	1278097
55	3599	1281814
56	3674	1285457
57	3741	1286493
58	3814	1289283
59	3885	1291247
60	3958	1293997
61	4032	1296745
62	4103	1298529
63	4173	1300029
64	4240	1300609
65	4308	1301434
66	4377	1302468
67	4446	1303337
68	4516	1304594
69	4586	1305776
70	4652	1305874
71	4728	1308631
72	4797	1309587
73	4868	1310903
74	4936	1311452
75	5004	1312005
76	5073	1312819
77	5143	1313653
78	5211	1314072
79	5282	1315278
80	5351	1315933
81	5419	1316297
82	5490	1317599
83	5560	1318427
84	5628	1318823
85	5697	1319327
86	5762	1319059
87	5829	1319071
88	5904	1320958
89	5975	1321835
90	6044	1322366
91	6112	1322674
92	6181	1323129
93	6247	1322988
94	6319	1324026
95	6385	1323865
96	6451	1323770
97	6521	1324447
98	6590	1324742
99	6655	1324364
100	6725	1324975
101	6790	1324735
102	6857	1324632
103	6923	1324427
104	6989	1324398
105	7061	1325270
106	7135	1326561
107	7203	1326746
108	7271	1326880
109	7338	1326899
110	7407	1327187
111	7480	1328359
112	7548	1328436
113	7615	1328447
114	7682	1328326
115	7748	1328163
116	7816	1328345
117	7885	1328686
118	7955	1329080
119	8024	1329329
120	8088	1328893
121	8155	1328752
122	8226	1329407
123	8295	1329717
124	8363	1329873
125	8429	1329629
126	8495	1329452
127	8564	1329670
128	8631	1329641
129	8699	1329721
130	8767	1329856
131	8832	1329485
132	8903	1329965
133	8970	1329837
134	9036	1329685
135	9104	1329772
136	9168	1329269
137	9236	1329410
138	9306	1329700
139	9374	1329849
140	9441	1329797
141	9508	1329767
142	9577	1329987
143	9639	1329180
144	9698	1328048
145	9758	1327036
146	9820	1326321
147	9896	1327440
148	9954	1326251
149	10027	1327001
150	10087	1326053
151	10158	1326441
152	10215	1325143
153	10286	1325627
154	10355	1325891
155	10421	1325721
156	10481	1324724
157	10541	1323873
158	10595	1322193
159	10651	1320809
160	10710	1319816
161	10767	1318511
162	10828	1317859
163	10885	1316669
164	10942	1315437
165	11010	1315567
166	11077	1315561
167	11141	1315190
168	11207	1315175
169	11274	1315149
170	11342	1315207
171	11407	1315100
172	11473	1314974
173	11540	1314979
174	11606	1314892
175	11675	1315127
176	11741	1314941
177	11818	1316093
178	11888	1316402
179	11952	1316082
180	12020	1316213
181	12091	1316599
182	12156	1316417
183	12223	1316377
184	12289	1316283
185	12353	1315998
186	12419	1315914
187	12487	1315957
188	12553	1315894
189	12623	1316141
190	12687	1315877
191	12756	1316071
192	12832	1316943
193	12910	1318041
194	12990	1319329
195	13065	1320196
196	13132	1320108
197	13199	1320129
198	13271	1320512
199	13340	1320685
200	13410	1320992
201	13482	1321381
202	13548	1321264
203	13617	1321404
204	13691	1322045
205	13756	1321845
206	13823	1321754
207	13889	1321642
208	14001	1325848
209	14070	1326001
210	14146	1326713
211	14219	1327214
212	14288	1327356
213	14354	1327201
214	14421	1327103
215	14492	1327397
216	14559	1327305
217	14625	1327140
218	14696	1327453
219	14769	1327885
220	14836	1327798
221	14908	1328168
222	14981	1328629
223	15051	1328848
224	15121	1329015
225	15197	1329687
226	15269	1330058
227	15350	1331217
228	15424	1331733
229	15495	1331950
230	15566	1332224
231	15640	1332675
232	15708	1332638
233	15781	1333034
234	15854	1333461
235	15929	1334062
236	16004	1334615
237	16073	1334633
238	16142	1334696
239	16214	1334972
240	16283	1335080
241	16352	1335118
242	16425	1335457
243	16502	1336137
244	16572	1336317
245	16647	1336799
246	16716	1336841
247	16789	1337190
248	16858	1337230
249	16930	1337480
250	16997	1337371
251	17064	1337277
252	17138	1337647
253	17208	1337766
254	17279	1337992
255	17349	1338073
256	17422	1338410
257	17494	1338668
258	17563	1338682
259	17635	1338916
260	17716	1339848
261	17787	1340053
262	17859	1340266
263	17931	1340492
264	17999	1340445
265	18074	1340922
266	18149	1341329
267	18219	1341451
268	18295	1341965
269	18367	1342207
270	18447	1342977
271	18517	1343090
272	18592	1343509
273	18663	1343653
274	18734	1343758
275	18808	1344148
276	18891	1345107
277	18962	1345250
278	19033	1345396
279	19105	1345541
280	19174	1345556
281	19245	1345710
282	19312	1345537
283	19385	1345819
284	19454	1345785
285	19522	1345715
286	19601	1346332
287	19667	1346128
288	19740	1346416
289	19809	1346347
290	19878	1346326
291	19947	1346350
292	20021	1346612
293	20096	1347009
294	20164	1346916
295	20235	1347019
296	20303	1346964
297	20378	1347284
