,Prediction
0,11.40271954601964
1,11.40271954601964
2,11.40271954601964
3,3432.549692223093
4,3432.549692223093
5,3432.549692223093
6,3432.549692223093
7,3316.7495711677166
8,3432.549692223093
9,3432.549692223093
10,3317.7874287837703
11,3317.7874287837703
12,3317.7874287837703
13,3317.7874287837703
14,3373.648523962219
15,3373.648523962219
16,3373.648523962219
17,3282.330694073808
18,3373.648523962219
19,3161.8280509946185
20,749.4033140775675
21,11.376078029927776
22,11.314250419652943
23,14.881008754346231
24,13.486344769555219
25,13.486344769555219
26,13.486344769555219
27,3459.2614500152395
28,3459.2614500152395
29,3408.544753907618
30,3521.995751669006
31,3421.9275248408476
32,3440.60887223167
33,3440.60887223167
34,3440.60887223167
35,3417.652120048377
36,3404.3034150884428
37,3440.60887223167
38,3440.60887223167
39,3440.60887223167
40,3357.8564362559555
41,3316.1190861943323
42,3313.7362625637793
43,3313.7362625637793
44,696.7469590743852
45,9.990346224092672
46,9.979032735508328
47,13.480341288313136
48,9.864129214044235
49,9.520674329545535
50,3180.900307303332
51,3338.643314738381
52,3338.643314738381
53,3623.255411666112
54,3834.180948598259
55,3834.180948598259
56,3834.180948598259
57,3374.6225665398597
58,3374.6225665398597
59,3417.2332840225263
60,3417.2332840225263
61,3342.2258252320667
62,3268.1756464328173
63,3306.2672983781154
64,3306.2672983781154
65,3268.1756464328173
66,3268.1756464328173
67,3268.1756464328173
68,846.6843875725147
69,5.181939336270348
70,13.341381740949348
71,13.335378259707273
72,13.316248856145325
73,13.316248856145325
74,2338.972398189848
75,3340.185407202832
76,3340.185407202832
77,3251.6354843901554
78,3251.6354843901554
79,3251.6354843901554
80,3340.185407202832
81,3319.70341132552
82,3292.8340451007916
83,3292.8340451007916
84,3292.8340451007916
85,3403.8000307452025
86,3403.8000307452025
87,3403.8000307452025
88,3403.8000307452025
89,3403.8000307452025
90,3403.8000307452025
91,3403.8000307452025
92,2093.1654780215213
93,24.81007847911402
94,16.883007190838615
95,16.881574474742756
96,15.137966456275805
97,15.137966456275805
98,3398.766121761901
99,3403.259294841671
100,3451.3019427366094
101,3403.7293259252697
102,3384.2477410888214
103,3403.8000307452025
104,3403.8000307452025
105,3403.8000307452025
106,3403.8000307452025
107,3403.8000307452025
108,3336.4046530633764
109,3229.957732956334
110,3159.6408850985604
111,3292.8340451007916
112,3292.8340451007916
113,3292.8340451007916
114,3292.8340451007916
115,3292.8340451007916
116,2760.9775598663073
117,666.8966951279349
118,9.864129214044235
119,9.864129214044235
120,13.565535265083712
121,13.51499017376553
122,3795.9630351217756
123,3808.784105872483
124,3795.9630351217756
125,3795.9630351217756
126,3336.4046530633764
127,3408.0303750145717
128,3408.0303750145717
129,3292.8340451007916
130,3292.8340451007916
131,3292.8340451007916
132,3292.8340451007916
133,3292.8340451007916
134,3229.957732956334
135,3292.8340451007916
136,3292.8340451007916
137,3292.8340451007916
138,3229.957732956334
139,3229.957732956334
140,2962.0726118562034
141,635.3494796642597
142,13.432008478485045
143,13.413400489434109
144,13.391203326951864
145,13.418130805377
146,3767.9076827159283
147,3785.818397995513
148,3743.3437183599217
149,3795.9630351217756
150,3763.5905721103804
151,3301.0291106474197
152,3336.4046530633764
153,3229.957732956334
154,3229.957732956334
155,3229.957732956334
156,3229.957732956334
157,3229.957732956334
158,3229.957732956334
159,3229.957732956334
160,3176.499070616209
161,3292.8340451007916
162,3292.8340451007916
163,3292.8340451007916
164,2583.702887470802
165,683.581457913149
166,13.342162699982355
167,13.31552118389049
168,13.342162699982355
169,13.342162699982355
170,1651.157265765208
171,1647.7398481269668
172,1116.922122147276
173,1106.035676941479
174,1106.035676941479
175,1106.035676941479
176,1179.387494582602
177,1722.9509929274072
178,1720.4211677854867
