,Prediction
0,0.0
1,0.0
2,0.0
3,4129.248313863298
4,4129.248313863298
5,4129.248313863298
6,4129.248313863298
7,4059.674876591159
8,4129.248313863298
9,4129.248313863298
10,3891.5673875440507
11,3891.5673875440507
12,3889.0728995266218
13,3815.24811009329
14,3724.908368309344
15,3711.4664053463816
16,3711.4664053463816
17,3669.5978224500773
18,3711.4664053463816
19,3706.1954526439417
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,4006.4230867282463
28,4006.4230867282463
29,4006.4230867282463
30,3772.055069680671
31,3765.6127368501025
32,3765.6127368501025
33,3765.6127368501025
34,3765.6127368501025
35,3765.6127368501025
36,3776.014516193785
37,3694.336020150794
38,3617.645101118172
39,3617.645101118172
40,3574.599673267602
41,3572.7000104343297
42,3711.4664053463816
43,3711.4664053463816
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,3894.085630704597
51,3935.6728045018417
52,3935.6728045018417
53,3698.6666109533735
54,3744.097977434652
55,3744.097977434652
56,3744.097977434652
57,3720.6200260031274
58,3720.6200260031274
59,3791.3703082295324
60,3788.875820212103
61,3841.0056814727186
62,3708.797356792469
63,3737.2239767258106
64,3737.2239767258106
65,3695.3553938295067
66,3695.3553938295067
67,3695.3553938295067
68,268.05383247675263
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,2731.1789949193053
75,4129.248313863298
76,4129.248313863298
77,4059.674876591159
78,4059.674876591159
79,4059.674876591159
80,4129.248313863298
81,4166.275361330972
82,3917.3249589234797
83,3917.3249589234797
84,3914.830470906051
85,3720.093591530223
86,3643.402672497601
87,3643.402672497601
88,3643.402672497601
89,3643.402672497601
90,3643.402672497601
91,3643.402672497601
92,1623.6277526468748
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,3994.492462870994
99,4006.4230867282463
100,4129.248313863298
101,4137.624267567002
102,4035.066940956412
103,3791.3703082295324
104,3791.3703082295324
105,3791.3703082295324
106,3791.3703082295324
107,3791.3703082295324
108,3718.1255379856984
109,3777.4523821816983
110,3675.065061335972
111,3737.2239767258106
112,3737.2239767258106
113,3737.2239767258106
114,3737.2239767258106
115,3737.2239767258106
116,2887.8626290355587
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,3763.4039239367094
123,3744.097977434652
124,3744.097977434652
125,3744.097977434652
126,3720.6200260031274
127,3917.3249589234797
128,3917.3249589234797
129,3917.3249589234797
130,3917.3249589234797
131,3917.3249589234797
132,3914.830470906051
133,3841.0056814727186
134,3708.797356792469
135,3737.2239767258106
136,3737.2239767258106
137,3737.2239767258106
138,3695.3553938295067
139,3695.3553938295067
140,3480.774768275542
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,3959.6620491558815
147,3997.3778875110315
148,3732.3218469583103
149,3744.097977434652
150,3716.98626164085
151,3672.3815112275634
152,3720.6200260031274
153,3847.7515216513416
154,3847.7515216513416
155,3847.7515216513416
156,3845.2570336339127
157,3777.4523821816983
158,3708.797356792469
159,3695.3553938295067
160,3695.3553938295067
161,3737.2239767258106
162,3737.2239767258106
163,3737.2239767258106
164,2612.3146787758315
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,1504.0064205597214
171,1504.0064205597214
172,1248.1341605593923
173,1229.0883779911624
174,1229.0883779911624
175,1240.3424986197529
176,1274.229512254213
177,1306.5876857507105
178,1751.269377916415
179,4129.248313863298
180,4124.470677178994
181,4044.968032296102
182,3955.1639423728625
183,3737.2239767258106
184,3737.2239767258106
185,3969.5265117757176
186,3918.0982870348384
187,3851.030098740587
188,2735.2420608134025
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,4129.248313863298
195,4129.248313863298
196,4129.248313863298
197,4129.248313863298
198,4129.248313863298
199,4129.248313863298
200,4129.248313863298
201,4129.248313863298
202,4129.248313863298
203,4136.120260953246
204,3914.830470906051
205,4075.701220185629
206,3976.7109767736824
207,3969.5265117757176
208,3976.5619574411635
209,3941.7219794098996
210,3859.43938108687
211,1309.5079111935445
212,1206.5164298989257
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,1872.1504599784332
219,1872.1504599784332
220,1376.426216932398
221,1526.7231546168807
222,2628.6962037767494
223,4006.4230867282463
224,4006.4230867282463
225,3791.3703082295324
226,3791.3703082295324
227,3791.3703082295324
228,3788.875820212103
229,2720.854345994226
230,1761.843822916441
231,2003.1797127889756
232,1769.9880619998607
233,1708.3031335877886
234,1831.1465135863803
235,3663.9239637589417
236,1294.4240143747331
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,1635.4950204629877
243,1715.630993750897
244,2994.7141905388708
245,4129.248313863298
246,4129.248313863298
247,4129.248313863298
248,4129.248313863298
249,4129.248313863298
250,4129.248313863298
251,4129.248313863298
252,4124.470677178994
253,4044.968032296102
254,3955.1639423728625
255,3737.2239767258106
256,3737.2239767258106
257,3695.3553938295067
258,3737.2239767258106
259,3737.2239767258106
260,3899.8533965135957
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,4148.659016124
267,4129.248313863298
268,4129.248313863298
269,4129.248313863298
270,4129.248313863298
271,4129.248313863298
272,4129.248313863298
273,4129.248313863298
274,3917.3249589234797
275,3917.3249589234797
276,3914.830470906051
277,4044.968032296102
278,3955.1639423728625
279,3737.2239767258106
280,3737.2239767258106
281,3969.5265117757176
282,2617.207507836575
283,1755.244800419989
284,1707.046444843015
285,0.0
286,0.0
287,0.0
288,0.0
289,465.94862760460893
290,3891.5673875440507
291,3891.5673875440507
292,3891.5673875440507
293,3891.5673875440507
294,3891.5673875440507
295,3891.5673875440507
296,3891.5673875440507
297,3891.5673875440507
298,3891.5673875440507
299,3891.5673875440507
300,3889.0728995266218
301,3815.24811009329
302,3724.908368309344
303,3711.4664053463816
304,3711.4664053463816
305,3711.4664053463816
306,3711.4664053463816
307,3711.4664053463816
308,3711.4664053463816
309,0.0
310,0.0
311,0.0
312,0.0
313,1026.4776094037227
314,2929.2368442918983
315,3891.5673875440507
316,4174.850187141511
317,4174.850187141511
318,3891.5673875440507
319,3891.5673875440507
320,3891.5673875440507
321,3891.5673875440507
322,3891.5673875440507
323,3891.5673875440507
324,3889.0728995266218
325,3815.24811009329
326,3976.7109767736824
327,2001.1981628306362
328,2001.1981628306362
329,1781.5961054340958
330,1726.0698896940128
331,1656.728271278207
332,1656.728271278207
333,0.0
334,0.0
335,0.0
336,0.0
337,685.933707176524
338,1654.018160167096
339,1654.018160167096
340,3020.02697951887
341,4129.248313863298
342,4129.248313863298
343,4129.248313863298
344,4129.248313863298
345,4129.248313863298
346,4129.248313863298
347,3891.5673875440507
348,3889.0728995266218
349,3815.24811009329
350,3724.908368309344
351,3711.4664053463816
352,3711.4664053463816
353,3711.4664053463816
354,3704.7263574994913
355,3711.4664053463816
