,Prediction
0,0.0
1,0.0
2,0.0
3,47.28065765218936
4,377.8974184023246
5,815.5389807957721
6,1330.0364346908755
7,1922.9540998853217
8,2145.1571353221007
9,2384.2103471350792
10,2174.709534401857
11,1987.5269490860471
12,1789.142524461586
13,1763.8812232248247
14,2230.0019321860527
15,1624.5156023770166
16,1128.5958596922076
17,765.39955133444
18,311.9127340204463
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,139.59463495674788
28,568.9561331185364
29,1120.2654730532554
30,1461.1448303676816
31,2047.3077478346634
32,2536.307269062936
33,2493.118971372321
34,2480.6337357109537
35,2338.1824925011633
36,2338.1824925011633
37,2349.117503422379
38,2658.940149277714
39,2247.7972498604136
40,1579.7954651137372
41,970.171976932318
42,401.6210798486255
43,53.3845471154945
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,308.28618478831663
52,754.9787183076569
53,1268.2203364181614
54,1953.5875178235342
55,2647.1794295999225
56,2831.384967026455
57,2973.9856225582857
58,2973.9856225582857
59,2952.929605824301
60,2870.841930629753
61,2952.929605824301
62,2890.5980087292255
63,2552.491572757343
64,1731.51071132876
65,1029.2851244859796
66,619.0281751303626
67,198.37308179689703
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,12.418763769453646
75,143.6029079103559
76,635.4217846628698
77,1207.159221560397
78,1924.5355155081459
79,2370.8666096157685
80,2590.397572762851
81,2572.6004389997756
82,2569.600469912647
83,2387.300707802424
84,2299.678786070594
85,2312.633293515915
86,2625.775886750674
87,2712.3977723063235
88,2026.8813646986043
89,1021.2710458279021
90,519.1803048758097
91,177.06062005847585
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,52.4828167826997
99,230.4334211412263
100,798.5775900299359
101,1260.2506655357938
102,1920.737745623174
103,2424.33788271408
104,2745.0391176767894
105,2890.2789157656607
106,2915.255961663483
107,2952.044020822034
108,2971.0928687375363
109,2960.3890695990185
110,2835.8611796547875
111,2785.0086722902374
112,1982.7202852697135
113,1176.2135080938128
114,760.2003494052143
115,262.68539244048094
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,64.76496635437971
123,356.7415729901563
124,785.7168897548773
125,1324.6654267296537
126,2002.4357494880123
127,2619.791503121471
128,2659.325795259741
129,2701.824487261401
130,2605.773582016071
131,2463.397565561609
132,2468.5988559348707
133,2633.650949885029
134,2771.8765351593297
135,2619.615791574123
136,1891.6074946941635
137,1054.1822841427577
138,763.7607530447918
139,273.35289509035476
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,65.53510157178017
147,366.23164745322384
148,803.5762604190103
149,1339.2148427781287
150,1977.0017056932925
151,2671.624725957893
152,2871.0751834190132
153,2930.230531771653
154,2950.3552379954117
155,2923.9070978749673
156,2883.895304835223
157,2882.84690384485
158,2882.84690384485
159,2755.11514770585
160,1842.0138064784776
161,1042.704606220833
162,743.5493740530161
163,240.18299043321545
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,33.088544719002364
171,87.76793024521413
172,219.14338813218765
173,334.18807720781194
174,436.3919952490982
175,674.6036705039677
176,702.6402637331564
177,748.7519412425386
178,787.2390584271818
179,973.8581698445553
180,1149.2599552991949
181,1612.3785093718625
182,1646.4389120061342
183,1774.703294010017
184,1410.4346529820366
185,820.9978175689612
186,542.8079959503702
187,171.43221187448768
188,17.062601121207063
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,65.38297423195407
195,173.08594358931475
196,402.6805807341612
197,700.4825349506968
198,1337.481568371722
199,1944.1085084383465
200,2036.1068696562998
201,1962.9368135897064
202,1952.4993300012216
203,2041.3615275284571
204,2251.387413660848
205,2153.549870147768
206,2107.2998442388166
207,1742.0865233696936
208,1153.1742902568205
209,615.0423156826172
210,441.76603937672957
211,98.07529534218503
212,10.783403047802643
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,39.32981958547447
219,96.46296414428255
220,215.3407349021986
221,347.95842585719345
222,702.4196999473618
223,991.2076135676166
224,1385.1483717359665
225,1362.6667407657528
226,1227.5392050293772
227,1187.5476553827807
228,1189.0951056104125
229,1073.029937286916
230,988.131263942261
231,974.5776640936901
232,737.634633211629
233,396.8758602583074
234,331.2866063532339
235,148.58157567318892
236,21.37926382509454
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,35.291564526830726
243,111.07790184958878
244,279.8517196806266
245,697.8309893306964
246,1225.8674030978632
247,1876.936582470144
248,1858.7107067383074
249,1268.2160363633118
250,1021.9921150359236
251,1272.650765921241
252,1354.008587767498
253,1307.7537195295756
254,1321.374281668744
255,1615.4059572447957
256,1595.2125282095697
257,968.2847551228306
258,713.7135010686154
259,226.5278660571015
260,42.50426288830905
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,93.43783831610926
267,187.52087316574972
268,453.54013034015424
269,865.2979727192853
270,1314.0419464326485
271,1559.9185649718875
272,1559.4130666873236
273,1644.9019404191592
274,1569.280585082787
275,1597.664905683343
276,1661.3351159641923
277,1629.3704747828806
278,1645.2418848998796
279,1620.1201712315471
280,1228.5906068158606
281,667.6700175723538
282,452.6076214848259
283,105.69755972884067
284,33.479368086298045
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,118.2859141610993
291,192.1395511753669
292,405.70532042385685
293,837.0488996837415
294,1335.699962558015
295,1582.666340095547
296,1491.4154048865626
297,1573.6089259816406
298,1659.507112145121
299,1579.6351149629513
300,1358.7810080368683
301,1344.499595574207
302,1341.5965406949913
303,1376.540035325459
304,947.9500328077647
305,743.2164913278552
306,613.2915126143179
307,206.79744500773722
308,73.50510643119732
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,87.91638839257882
315,174.4804796417017
316,713.7455926693991
317,934.4292378153956
318,1294.7642613053642
319,1627.2652621882276
320,1963.93526301582
321,1899.473943471024
322,1843.7619683214725
323,1723.0739724898563
324,1577.2542918336885
325,1352.3481330254037
326,1154.4285804539556
327,956.1881048542598
328,790.8809289062322
329,454.45183819723377
330,291.9653012664402
331,128.00187362755338
332,32.71383025705352
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,57.73326966750439
339,78.78865722823647
340,273.12754288278944
341,654.1702647619348
342,825.9612639272378
343,944.6508546534415
344,1036.4748310057082
345,1083.6025442664024
346,1100.1450764680258
347,1274.4879327254944
348,1226.598442852552
349,1186.4361352342116
350,1160.1136623660768
351,1125.9081979466127
352,938.3570057394776
353,619.3071581641605
354,448.0966245774179
355,164.24070898001787
356,60.18306490145973
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,67.57959611038133
363,171.08948141776463
364,383.4908438610832
365,654.6881691264183
366,840.2616190055884
367,1141.1054044529378
