,Prediction
0,0.0
1,0.0
2,0.0
3,264.3695992509374
4,868.9922283738152
5,868.9922283738152
6,868.9922283738152
7,859.1750519946389
8,868.9922283738152
9,868.9922283738152
10,874.39315433382
11,874.39315433382
12,874.39315433382
13,874.39315433382
14,874.39315433382
15,874.39315433382
16,874.39315433382
17,874.39315433382
18,874.39315433382
19,145.08515693891854
20,89.85211081204179
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,870.9437435253304
28,868.9922283738152
29,868.9922283738152
30,868.9922283738152
31,876.3446694853352
32,876.3446694853352
33,876.3446694853352
34,876.3446694853352
35,876.3446694853352
36,876.3446694853352
37,876.3446694853352
38,876.3446694853352
39,876.3446694853352
40,864.5759779546438
41,855.4350422821292
42,874.39315433382
43,623.3439922055094
44,83.66732091305188
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,127.31788937984675
51,855.570573644706
52,871.6263987928122
53,871.6263987928122
54,871.6263987928122
55,871.6263987928122
56,871.6263987928122
57,867.8779487111599
58,879.6466402418514
59,879.6466402418514
60,879.6466402418514
61,867.8779487111599
62,867.8779487111599
63,877.6951250903363
64,877.6951250903363
65,867.8779487111599
66,867.8779487111599
67,867.8779487111599
68,139.27399960702576
69,92.53477114843743
70,0.0
71,0.0
72,0.0
73,0.0
74,116.85662075869877
75,872.2941991303315
76,872.2941991303315
77,862.4770227511551
78,862.4770227511551
79,855.570573644706
80,872.2941991303315
81,877.6951250903363
82,877.6951250903363
83,877.6951250903363
84,877.6951250903363
85,877.6951250903363
86,879.6466402418514
87,879.6466402418514
88,879.6466402418514
89,879.6466402418514
90,879.6466402418514
91,879.6466402418514
92,162.00313288547588
93,89.85211081204179
94,0.0
95,0.0
96,0.0
97,0.0
98,775.7654854732014
99,874.2457142818465
100,862.4770227511551
101,862.4770227511551
102,874.2457142818465
103,879.6466402418514
104,879.6466402418514
105,879.6466402418514
106,879.6466402418514
107,879.6466402418514
108,867.8779487111599
109,867.8779487111599
110,858.7370130386454
111,877.6951250903363
112,877.6951250903363
113,877.6951250903363
114,877.6951250903363
115,867.8779487111599
116,145.08515693891854
117,80.17022406219031
118,0.0
119,0.0
120,0.0
121,0.0
122,871.6263987928122
123,871.6263987928122
124,871.6263987928122
125,871.6263987928122
126,858.7370130386454
127,877.6951250903363
128,877.6951250903363
129,877.6951250903363
130,877.6951250903363
131,877.6951250903363
132,877.6951250903363
133,877.6951250903363
134,867.8779487111599
135,867.8779487111599
136,877.6951250903363
137,877.6951250903363
138,867.8779487111599
139,867.8779487111599
140,145.08515693891854
141,82.5402190116853
142,0.0
143,0.0
144,0.0
145,0.0
146,855.570573644706
147,871.6263987928122
148,871.6263987928122
149,871.6263987928122
150,858.7370130386454
151,858.7370130386454
152,867.8779487111599
153,867.8779487111599
154,867.8779487111599
155,867.8779487111599
156,867.8779487111599
157,867.8779487111599
158,867.8779487111599
159,867.8779487111599
160,867.8779487111599
161,867.8779487111599
162,877.6951250903363
163,877.6951250903363
164,145.08515693891854
165,83.66732091305188
166,0.0
167,0.0
168,0.0
169,0.0
170,275.3193136615742
171,273.86686981130686
172,272.03063993794837
173,272.03063993794837
174,272.03063993794837
175,272.03063993794837
176,280.3514223501598
177,280.3514223501598
178,650.7792994873445
179,874.2457142818465
180,872.2941991303315
181,872.2941991303315
182,877.6951250903363
183,877.6951250903363
184,877.6951250903363
185,877.6951250903363
186,874.2457142818465
187,874.2457142818465
188,162.00313288547588
189,88.72500891067519
190,0.0
191,0.0
192,0.0
193,0.0
194,862.4770227511551
195,872.2941991303315
196,872.2941991303315
197,872.2941991303315
198,872.2941991303315
199,872.2941991303315
200,862.4770227511551
201,872.2941991303315
202,872.2941991303315
203,872.2941991303315
204,877.6951250903363
205,877.6951250903363
206,877.6951250903363
207,877.6951250903363
208,875.460638524271
209,872.2941991303315
210,722.077365858475
211,616.7762833234333
212,158.0621149790126
213,89.85211081204179
214,0.0
215,0.0
216,0.0
217,0.0
218,658.6302671181985
219,658.6302671181985
220,641.0683903964355
221,653.8682342899157
222,688.9143792533831
223,874.2457142818465
224,874.2457142818465
225,874.2457142818465
226,879.6466402418514
227,879.6466402418514
228,879.6466402418514
229,720.6372081979537
230,666.2050360575925
231,658.6302671181985
232,658.6302671181985
233,634.3381600451964
234,638.1436145906509
235,709.0373027271619
236,619.9427227173727
237,89.85211081204179
238,0.0
239,0.0
240,0.0
241,0.0
242,283.5657856765181
243,632.261361437106
244,734.9279309300114
245,872.2941991303315
246,872.2941991303315
247,872.2941991303315
248,872.2941991303315
249,872.2941991303315
250,872.2941991303315
251,872.2941991303315
252,872.2941991303315
253,872.2941991303315
254,872.2941991303315
255,877.6951250903363
256,867.8779487111599
257,877.6951250903363
258,877.6951250903363
259,877.6951250903363
260,645.6010580530078
261,88.93659981976609
262,0.0
263,0.0
264,0.0
265,0.0
266,872.2941991303315
267,872.2941991303315
268,872.2941991303315
269,872.2941991303315
270,872.2941991303315
271,872.2941991303315
272,872.2941991303315
273,872.2941991303315
274,877.6951250903363
275,877.6951250903363
276,877.6951250903363
277,872.2941991303315
278,872.2941991303315
279,877.6951250903363
280,877.6951250903363
281,877.6951250903363
282,671.7766479125177
283,634.3381600451964
284,634.3381600451964
285,89.85211081204179
286,0.0
287,0.0
288,0.0
289,96.56723539959849
290,874.39315433382
291,874.39315433382
292,874.39315433382
293,874.39315433382
294,874.39315433382
295,874.39315433382
296,874.39315433382
297,874.39315433382
298,874.39315433382
299,874.39315433382
300,874.39315433382
301,874.39315433382
302,874.39315433382
303,874.39315433382
304,874.39315433382
305,874.39315433382
306,874.39315433382
307,874.39315433382
308,630.0152043267215
309,83.66732091305188
310,0.0
311,0.0
312,0.0
313,110.74398010928059
314,651.1105575522084
315,868.9922283738152
316,868.9922283738152
317,868.9922283738152
318,874.39315433382
319,874.39315433382
320,874.39315433382
321,874.39315433382
322,874.39315433382
323,874.39315433382
324,874.39315433382
325,874.39315433382
326,868.9922283738152
327,621.7610143951475
328,659.1995022624689
329,621.7610143951475
330,621.7610143951475
331,278.7597916723048
332,278.7597916723048
333,89.85211081204179
334,0.0
335,0.0
336,0.0
337,102.5157901673719
338,281.370552474937
339,281.370552474937
340,659.1995022624689
341,868.9922283738152
342,868.9922283738152
343,868.9922283738152
344,868.9922283738152
345,868.9922283738152
346,868.9922283738152
347,874.39315433382
348,874.39315433382
349,874.39315433382
350,874.39315433382
351,874.39315433382
352,874.39315433382
353,874.39315433382
354,753.288712277208
355,874.39315433382
356,624.9274537890869
357,83.66732091305188
358,0.0
359,0.0
360,0.0
361,104.657797238079
362,624.9274537890869
363,864.0370123371285
364,868.9922283738152
365,874.39315433382
366,874.39315433382
367,874.39315433382
368,874.39315433382
369,874.39315433382
370,874.39315433382
371,874.39315433382
372,874.39315433382
373,874.39315433382
