iter	RMSE
0	871.2640221
1	809.4163408
2	755.2032736
3	707.5620526
4	664.6780042
5	626.9564431
6	593.5911498
7	564.9021366
8	539.6107075
9	516.6373346
10	498.2895274
11	481.7957921
12	467.1204549
13	454.1206638
14	443.5493602
15	433.8542457
16	425.5295545
17	418.3041465
18	411.5987302
19	406.3202525
20	401.4145649
21	396.9770147
22	392.6900107
23	389.3628147
24	386.4929433
25	384.0757999
26	381.9181587
27	379.7558104
28	377.3656738
29	375.3826305
30	373.3198319
31	371.4756704
32	370.0961413
33	368.6452641
34	367.0623315
35	365.5880837
36	363.5507762
37	362.111906
38	360.7301714
39	359.7476817
40	357.7466579
41	356.5677738
42	355.3856592
43	354.4180884
44	352.7296987
45	351.8649245
46	350.7216787
47	349.8044803
48	349.1210565
49	347.8604278
50	347.0846444
51	345.1444485
52	344.3252009
53	343.356013
54	342.1789732
55	341.3455664
56	340.6077962
57	340.0970703
58	338.8106989
59	337.9043324
60	337.4928424
61	336.9873734
62	336.3032233
63	335.6171772
64	335.0696349
65	334.1205783
66	332.6026599
67	331.980117
68	331.1437984
69	330.2826466
70	329.7107329
71	328.4967556
72	327.4195352
73	326.6702214
74	325.8130694
75	324.4641304
76	323.2111434
77	322.3147344
78	320.7650439
79	320.683647
80	319.6978082
81	318.5455102
82	317.8261496
83	316.890813
84	316.3611186
85	315.8726376
86	314.8940553
87	313.9742834
88	313.4296912
89	312.8455041
90	311.9479696
91	311.1750361
92	310.4873612
93	309.1904867
94	308.2199101
95	307.3396954
96	306.163631
97	305.4300915
98	304.7595711
99	303.5899446
