iter	RMSE
0	1.336164563
1	1.247496915
2	1.165264061
3	1.088809532
4	1.018540641
5	0.9531221759
6	0.8920261277
7	0.8359352764
8	0.7848167758
9	0.7369072327
10	0.6932032953
11	0.6528744403
12	0.6151134494
13	0.5809394418
14	0.5497027924
15	0.5208451536
16	0.4945003819
17	0.4710513883
18	0.4493126741
19	0.4299001016
20	0.4113147267
21	0.3950577742
22	0.3796928547
23	0.3660971816
24	0.3540926197
25	0.3432718434
26	0.3334820701
27	0.3246654323
28	0.3167555702
29	0.3094303984
30	0.3027869549
31	0.2971592887
32	0.2920073787
33	0.2869915752
34	0.2828579963
35	0.2790692006
36	0.2758695915
37	0.2728428645
38	0.2696970949
39	0.2673921947
40	0.2648202229
41	0.2627465129
42	0.2611803813
43	0.2594127758
44	0.2577462549
45	0.2565470295
46	0.2551705796
47	0.2541174756
48	0.2528677461
49	0.2518086131
50	0.2508626973
51	0.2499668522
52	0.249107036
53	0.2484454814
54	0.2478583068
55	0.2472601188
56	0.246763533
57	0.2462770222
58	0.245598308
59	0.2450997358
60	0.2446099624
61	0.2442718295
62	0.2437126459
63	0.2432399546
64	0.242827099
65	0.2424622549
66	0.2420798068
67	0.2416983069
68	0.2413167052
69	0.2410054092
70	0.2406188978
71	0.2402206173
72	0.2398942731
73	0.2396244642
74	0.2393068681
75	0.2390522683
76	0.2388400683
77	0.2386185773
78	0.2382631978
79	0.237980825
80	0.2377163415
81	0.2375207362
82	0.2372552165
83	0.23706484
84	0.2368185428
85	0.2365317318
86	0.2363017425
87	0.2360534392
88	0.2358562847
89	0.2356228379
90	0.235399989
91	0.2351203158
92	0.2348779765
93	0.2346653223
94	0.234248066
95	0.2340341305
96	0.2338744333
97	0.2336711293
98	0.2334969433
99	0.2332906869
100	0.2331210105
101	0.2329512159
102	0.2327668353
103	0.2325653556
104	0.2324672475
105	0.2322509913
106	0.2321044505
107	0.2319569397
108	0.2317549154
109	0.2316172258
110	0.2314279997
111	0.2312430423
112	0.2309120959
113	0.2307689303
114	0.2305631649
115	0.2303684575
116	0.230261857
117	0.2300605976
118	0.2298971437
119	0.2296921266
120	0.229474069
121	0.2292312506
122	0.2290964947
123	0.2288592023
124	0.2287018408
125	0.2285657224
126	0.2283995107
127	0.2282392961
128	0.2281205176
129	0.2280068778
130	0.2279087589
131	0.2277577434
132	0.2276214282
133	0.227477898
134	0.2271883855
135	0.2269949054
136	0.2268490097
137	0.2266872902
138	0.2265238959
139	0.2263856503
140	0.2262579614
141	0.226137712
142	0.2260198137
143	0.2258495545
144	0.2257081153
145	0.2256353712
146	0.2255264179
147	0.2253962427
148	0.2250853915
149	0.2249059791
150	0.2247474827
151	0.2246261919
152	0.2244971086
153	0.2243715851
154	0.2242173596
155	0.2241055505
156	0.2239769203
157	0.2238916188
158	0.2237664456
159	0.2236681674
160	0.2235034894
161	0.2232844213
162	0.2231960794
163	0.2230960801
164	0.2229602131
165	0.2228196707
166	0.2227078019
167	0.2225873625
168	0.2224632002
169	0.2223359386
170	0.2222249866
171	0.2220720143
172	0.2219738917
173	0.2219050361
174	0.2217564417
175	0.2216127233
176	0.2215218649
177	0.2213793076
178	0.2212273966
179	0.2210744653
180	0.2210286729
181	0.2208817633
182	0.2207582544
183	0.2207549212
