iter	Passed	Remaining
0	8	8405
1	18	9047
2	26	8801
3	35	8819
4	43	8669
5	50	8417
6	60	8644
7	69	8564
8	78	8630
9	86	8558
10	95	8541
11	104	8584
12	112	8574
13	121	8589
14	129	8510
15	139	8552
16	147	8502
17	155	8472
18	162	8381
19	169	8287
20	177	8268
21	184	8187
22	192	8196
23	200	8165
24	209	8158
25	219	8207
26	227	8200
27	236	8204
28	244	8179
29	253	8194
30	260	8148
31	268	8114
32	276	8112
33	284	8069
34	292	8058
35	300	8037
36	306	7989
37	316	8001
38	322	7946
39	330	7922
40	337	7901
41	345	7874
42	353	7873
43	360	7839
44	367	7808
45	375	7797
46	383	7768
47	390	7754
48	397	7722
49	405	7695
50	412	7683
51	419	7652
52	427	7640
53	434	7618
54	441	7582
55	449	7585
56	456	7558
57	463	7530
58	472	7528
59	478	7495
60	485	7478
61	493	7468
62	500	7442
63	508	7435
64	514	7404
65	521	7379
66	529	7373
67	536	7351
68	543	7333
69	551	7324
70	558	7306
71	565	7292
72	573	7279
73	579	7253
74	588	7252
75	594	7227
76	599	7191
77	608	7189
78	614	7168
79	621	7144
80	629	7137
81	635	7109
82	641	7084
83	649	7081
84	655	7056
85	662	7041
86	669	7028
87	676	7009
88	683	6995
89	690	6982
90	698	6974
91	707	6979
92	714	6972
93	724	6982
94	732	6977
95	741	6987
96	750	6984
97	756	6961
98	764	6958
99	772	6951
100	779	6940
101	788	6941
102	796	6932
103	805	6935
104	811	6920
105	820	6916
106	826	6901
107	833	6881
108	841	6877
109	848	6862
110	854	6845
111	863	6843
112	869	6825
113	875	6807
114	884	6809
115	891	6792
116	897	6776
117	905	6767
118	912	6756
119	920	6753
120	928	6742
121	933	6720
122	942	6719
123	950	6716
124	960	6720
125	968	6715
126	977	6722
127	986	6719
128	993	6710
129	1003	6715
130	1010	6704
131	1020	6712
132	1028	6702
133	1037	6701
134	1044	6692
135	1051	6680
136	1059	6676
137	1066	6661
138	1073	6648
139	1080	6639
140	1087	6626
141	1095	6618
142	1102	6605
143	1108	6590
144	1116	6581
145	1123	6570
146	1130	6561
147	1138	6553
148	1144	6539
149	1153	6534
150	1160	6525
151	1166	6509
152	1174	6502
153	1181	6491
154	1187	6474
155	1195	6468
156	1203	6460
157	1209	6445
158	1216	6436
159	1223	6424
160	1230	6413
161	1238	6406
162	1245	6394
163	1252	6386
164	1259	6375
165	1266	6363
166	1274	6357
167	1281	6348
168	1288	6336
169	1296	6329
170	1302	6315
171	1310	6307
172	1317	6298
173	1323	6283
174	1331	6275
175	1338	6267
176	1344	6253
177	1352	6247
178	1360	6240
179	1366	6225
180	1373	6214
181	1380	6202
182	1388	6196
183	1394	6182
184	1400	6170
185	1407	6159
186	1414	6147
187	1420	6135
188	1428	6130
189	1435	6120
190	1442	6110
191	1451	6107
192	1457	6094
193	1463	6078
194	1470	6071
195	1477	6060
196	1483	6046
197	1491	6040
198	1498	6030
199	1505	6023
200	1512	6014
201	1519	6001
202	1525	5990
203	1532	5980
204	1538	5968
205	1544	5954
206	1552	5948
207	1559	5936
208	1566	5929
209	1573	5920
210	1579	5906
211	1587	5900
212	1594	5891
213	1601	5880
214	1608	5873
215	1616	5866
216	1622	5854
217	1629	5846
218	1636	5836
219	1644	5831
220	1651	5821
221	1657	5810
222	1666	5805
223	1672	5792
224	1678	5782
225	1686	5777
226	1693	5768
227	1700	5756
228	1708	5753
229	1715	5742
230	1722	5735
231	1729	5726
232	1735	5714
233	1742	5704
234	1749	5695
235	1756	5687
236	1764	5679
237	1771	5670
238	1777	5660
239	1785	5655
240	1793	5649
241	1801	5643
242	1807	5632
243	1815	5623
244	1823	5617
245	1829	5607
246	1836	5598
247	1845	5595
248	1852	5588
249	1861	5585
250	1868	5576
251	1874	5565
252	1881	5556
253	1888	5546
254	1894	5536
255	1902	5528
256	1909	5520
257	1915	5508
258	1922	5500
259	1929	5492
260	1936	5484
261	1944	5478
262	1951	5469
263	1959	5464
264	1966	5453
265	1973	5444
266	1981	5439
267	1988	5430
268	1994	5419
269	2001	5411
270	2008	5401
271	2015	5393
272	2022	5386
273	2029	5378
274	2037	5371
275	2045	5365
276	2052	5357
277	2060	5352
278	2069	5347
279	2078	5343
280	2085	5335
281	2092	5327
282	2101	5324
283	2109	5318
284	2119	5316
285	2125	5306
286	2133	5301
287	2141	5294
288	2148	5284
289	2155	5278
290	2163	5271
291	2170	5262
292	2178	5255
293	2184	5246
294	2192	5239
295	2198	5229
296	2205	5219
297	2212	5212
298	2220	5206
299	2227	5196
300	2234	5189
301	2241	5181
302	2248	5171
303	2255	5164
304	2262	5154
305	2268	5144
306	2276	5138
307	2283	5129
308	2289	5119
309	2296	5112
310	2302	5102
311	2310	5094
312	2318	5088
313	2325	5080
314	2333	5074
315	2340	5065
316	2346	5055
317	2355	5051
318	2361	5041
319	2368	5033
320	2376	5026
321	2382	5016
322	2390	5009
323	2397	5002
324	2404	4993
325	2412	4988
326	2419	4980
327	2426	4971
328	2433	4964
329	2439	4952
330	2446	4945
331	2453	4937
332	2459	4926
333	2466	4918
334	2474	4912
335	2481	4903
336	2489	4897
337	2496	4889
338	2502	4879
339	2510	4872
340	2517	4864
341	2523	4856
342	2530	4847
343	2536	4837
344	2543	4828
345	2551	4822
346	2558	4814
347	2565	4806
348	2572	4799
349	2578	4788
350	2586	4782
351	2593	4774
352	2599	4765
353	2608	4759
354	2614	4749
355	2621	4742
356	2629	4735
357	2636	4727
358	2642	4718
359	2650	4711
360	2656	4702
361	2664	4696
362	2675	4694
363	2685	4691
364	2692	4685
365	2701	4680
366	2709	4673
367	2717	4666
368	2725	4661
369	2734	4655
370	2743	4650
371	2750	4643
372	2757	4635
373	2766	4630
374	2774	4623
375	2784	4621
376	2793	4615
377	2801	4610
378	2810	4605
379	2818	4599
380	2828	4594
381	2835	4587
382	2844	4582
383	2852	4575
384	2860	4569
385	2869	4563
386	2875	4554
387	2884	4549
388	2892	4543
389	2900	4537
390	2908	4530
391	2916	4523
392	2926	4519
393	2934	4513
394	2943	4507
395	2951	4501
396	2960	4496
397	2969	4490
398	2978	4486
399	2986	4479
400	2994	4473
401	3003	4467
402	3009	4458
403	3018	4452
404	3026	4445
405	3034	4439
406	3042	4432
407	3050	4425
408	3058	4418
409	3065	4411
410	3071	4401
411	3079	4395
412	3086	4386
413	3092	4377
414	3100	4370
415	3107	4361
416	3114	4354
417	3122	4347
418	3130	4340
419	3140	4336
420	3147	4328
421	3157	4324
422	3165	4318
423	3175	4313
424	3184	4307
425	3191	4300
426	3199	4293
427	3207	4286
428	3215	4280
429	3223	4273
430	3230	4265
431	3240	4260
432	3246	4251
433	3254	4243
434	3261	4236
435	3269	4229
436	3279	4224
437	3285	4215
438	3292	4207
439	3301	4201
440	3308	4193
441	3314	4184
442	3321	4176
443	3329	4169
444	3336	4161
445	3342	4152
446	3350	4144
447	3357	4137
448	3363	4128
449	3371	4120
450	3379	4114
451	3386	4105
452	3394	4098
453	3401	4090
454	3407	4081
455	3414	4073
456	3420	4064
457	3426	4055
458	3434	4048
459	3440	4038
460	3447	4031
461	3455	4023
462	3462	4015
463	3470	4008
464	3477	4000
465	3483	3992
466	3491	3985
467	3498	3976
468	3504	3968
469	3512	3961
470	3518	3951
471	3525	3943
472	3532	3935
473	3539	3927
474	3547	3920
475	3554	3913
476	3562	3905
477	3569	3898
478	3575	3889
479	3582	3880
480	3590	3873
481	3597	3865
482	3606	3860
483	3614	3853
484	3622	3846
485	3631	3841
486	3642	3836
487	3654	3833
488	3666	3830
489	3674	3824
490	3681	3816
491	3691	3811
492	3699	3804
493	3709	3799
494	3717	3792
495	3727	3788
496	3735	3780
497	3741	3771
498	3750	3765
499	3758	3758
500	3767	3752
501	3776	3746
502	3784	3738
503	3790	3730
504	3797	3722
505	3805	3715
506	3812	3707
507	3818	3698
508	3825	3689
509	3832	3681
510	3838	3673
511	3846	3666
512	3853	3657
513	3860	3650
514	3867	3642
515	3873	3633
516	3881	3626
517	3888	3617
518	3894	3609
519	3902	3602
520	3909	3594
521	3916	3586
522	3923	3578
523	3930	3570
524	3936	3561
525	3944	3554
526	3951	3546
527	3959	3539
528	3965	3530
529	3973	3523
530	3982	3517
531	3990	3510
532	3998	3503
533	4007	3496
534	4014	3489
535	4023	3482
536	4030	3474
537	4037	3467
538	4044	3459
539	4051	3451
540	4059	3444
541	4066	3436
542	4073	3428
543	4081	3421
544	4087	3412
545	4094	3404
546	4102	3397
547	4108	3388
548	4116	3381
549	4123	3374
550	4129	3365
551	4137	3357
552	4145	3350
553	4151	3342
554	4159	3335
555	4166	3326
556	4172	3318
557	4179	3311
558	4186	3302
559	4194	3295
560	4201	3287
561	4207	3279
562	4215	3271
563	4222	3264
564	4229	3256
565	4238	3249
566	4245	3242
567	4254	3235
568	4261	3228
569	4270	3221
570	4279	3214
571	4288	3208
572	4297	3202
573	4305	3195
574	4314	3189
575	4322	3182
576	4331	3175
577	4339	3168
578	4347	3160
579	4355	3153
580	4361	3145
581	4368	3137
582	4376	3130
583	4382	3121
584	4389	3113
585	4397	3106
586	4404	3098
587	4411	3091
588	4418	3083
589	4425	3075
590	4433	3068
591	4441	3060
592	4447	3052
593	4455	3045
594	4462	3037
595	4469	3029
596	4476	3021
597	4483	3013
598	4491	3006
599	4498	2998
600	4504	2990
601	4512	2983
602	4519	2975
603	4527	2968
604	4534	2960
605	4541	2952
606	4549	2945
607	4555	2937
608	4562	2929
609	4570	2922
610	4576	2913
611	4583	2905
612	4591	2898
613	4597	2890
614	4604	2882
615	4611	2874
616	4618	2866
617	4625	2859
618	4634	2852
619	4641	2844
620	4650	2838
621	4657	2830
622	4665	2823
623	4672	2815
624	4679	2807
625	4686	2799
626	4692	2791
627	4699	2783
628	4707	2776
629	4715	2769
630	4722	2761
631	4729	2753
632	4735	2745
633	4742	2737
634	4752	2731
635	4758	2723
636	4765	2715
637	4772	2708
638	4779	2700
639	4788	2693
640	4794	2685
641	4802	2678
642	4809	2670
643	4816	2662
644	4824	2655
645	4831	2647
646	4837	2639
647	4844	2631
648	4851	2623
649	4858	2615
650	4866	2608
651	4872	2600
652	4879	2592
653	4887	2585
654	4894	2577
655	4900	2569
656	4909	2562
657	4915	2554
658	4922	2547
659	4929	2539
660	4936	2531
661	4944	2524
662	4950	2516
663	4958	2508
664	4965	2501
665	4972	2493
666	4980	2486
667	4987	2478
668	4993	2470
669	5002	2463
670	5009	2456
671	5015	2448
672	5023	2440
673	5029	2432
674	5035	2424
675	5042	2416
676	5049	2409
677	5056	2401
678	5064	2394
679	5071	2386
680	5079	2379
681	5085	2371
682	5092	2363
683	5101	2356
684	5108	2349
685	5114	2341
686	5124	2334
687	5131	2326
688	5139	2319
689	5146	2312
690	5152	2304
691	5160	2296
692	5166	2288
693	5173	2281
694	5181	2273
695	5187	2265
696	5193	2257
697	5202	2251
698	5210	2243
699	5219	2237
700	5228	2230
701	5238	2223
702	5245	2216
703	5253	2208
704	5261	2201
705	5267	2193
706	5277	2186
707	5283	2179
708	5291	2171
709	5299	2164
710	5306	2156
711	5314	2149
712	5323	2142
713	5330	2135
714	5340	2128
715	5349	2121
716	5359	2115
717	5368	2108
718	5377	2101
719	5386	2094
720	5397	2088
721	5406	2081
722	5416	2075
723	5425	2068
724	5435	2061
725	5445	2055
726	5455	2048
727	5462	2041
728	5471	2034
729	5479	2026
730	5487	2019
731	5498	2013
732	5506	2005
733	5514	1998
734	5522	1991
735	5531	1984
736	5539	1976
737	5547	1969
738	5556	1962
739	5564	1955
740	5572	1947
741	5581	1940
742	5592	1934
743	5602	1927
744	5613	1921
745	5621	1913
746	5630	1907
747	5639	1900
748	5648	1892
749	5655	1885
750	5662	1877
751	5671	1870
752	5678	1862
753	5687	1855
754	5696	1848
755	5707	1842
756	5716	1835
757	5724	1827
758	5734	1820
759	5743	1813
760	5752	1806
761	5760	1799
762	5769	1792
763	5778	1784
764	5787	1777
765	5797	1770
766	5805	1763
767	5813	1756
768	5822	1749
769	5833	1742
770	5843	1735
771	5852	1728
772	5863	1721
773	5872	1714
774	5881	1707
775	5892	1700
776	5901	1693
777	5912	1686
778	5921	1679
779	5930	1672
780	5939	1665
781	5948	1658
782	5957	1651
783	5967	1644
784	5975	1636
785	5984	1629
786	5992	1621
787	6002	1614
788	6012	1607
789	6021	1600
790	6031	1593
791	6039	1586
792	6048	1578
793	6057	1571
794	6066	1564
795	6074	1556
796	6084	1549
797	6092	1542
798	6102	1535
799	6110	1527
800	6118	1520
801	6126	1512
802	6134	1505
803	6143	1497
804	6151	1490
805	6160	1482
806	6168	1475
807	6175	1467
808	6184	1460
809	6192	1452
810	6202	1445
811	6210	1438
812	6219	1430
813	6228	1423
814	6236	1415
815	6246	1408
816	6258	1401
817	6269	1394
818	6304	1393
819	6328	1389
820	6348	1384
821	6362	1377
822	6372	1370
823	6388	1364
824	6400	1357
825	6412	1350
826	6423	1343
827	6432	1336
828	6443	1329
829	6454	1322
830	6466	1315
831	6480	1308
832	6491	1301
833	6504	1294
834	6518	1288
835	6530	1281
836	6542	1274
837	6555	1267
838	6564	1259
839	6576	1252
840	6587	1245
841	6596	1237
842	6604	1230
843	6615	1222
844	6624	1215
845	6635	1207
846	6644	1200
847	6655	1192
848	6666	1185
849	6676	1178
850	6685	1170
851	6696	1163
852	6706	1155
853	6719	1148
854	6733	1142
855	6743	1134
856	6754	1127
857	6765	1119
858	6775	1112
859	6783	1104
860	6793	1096
861	6802	1089
862	6812	1081
863	6822	1073
864	6832	1066
865	6841	1058
866	6851	1051
867	6863	1043
868	6873	1036
869	6880	1028
870	6889	1020
871	6898	1012
872	6908	1004
873	6917	997
874	6925	989
875	6934	981
876	6942	973
877	6953	966
878	6961	958
879	6973	950
880	6981	943
881	6990	935
882	6998	927
883	7008	919
884	7016	911
885	7027	904
886	7035	896
887	7043	888
888	7052	880
889	7060	872
890	7069	864
891	7077	856
892	7087	849
893	7095	841
894	7104	833
895	7113	825
896	7120	817
897	7129	809
898	7138	802
899	7147	794
900	7156	786
901	7166	778
902	7174	770
903	7182	762
904	7191	754
905	7198	746
906	7208	739
907	7216	731
908	7226	723
909	7234	715
910	7243	707
911	7251	699
912	7258	691
913	7267	683
914	7275	675
915	7283	667
916	7290	659
917	7299	651
918	7307	644
919	7314	636
920	7321	628
921	7329	620
922	7336	612
923	7344	604
924	7351	596
925	7357	588
926	7365	580
927	7372	572
928	7380	564
929	7388	556
930	7394	548
931	7403	540
932	7410	532
