,Prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,368.5440373669742
5,943.154908176779
6,1835.5067681577295
7,2800.777630021754
8,2481.476330624296
9,2611.9425238716553
10,2569.914031701551
11,2774.617923951734
12,2314.567033493354
13,2465.262644725008
14,2315.429047826911
15,1612.5237676576464
16,1303.0723791279672
17,604.816742188093
18,246.95559740433092
19,44.28653120385332
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,646.1291319180585
29,1280.2234141640247
30,1915.534713435356
31,2764.490496579314
32,3803.85147246378
33,4053.8549675448235
34,3916.406770529329
35,3726.9538096400374
36,3855.472527010927
37,4034.6486603296144
38,3239.403495061334
39,2652.0013741693783
40,1498.7225369309572
41,920.7834746199031
42,396.9494628938038
43,100.55630716988556
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,304.5767729635334
52,754.5636618917339
53,1693.726061480899
54,2956.2253398289854
55,4017.875450221653
56,4543.3679443134715
57,4983.050377102074
58,5010.80111534772
59,4433.265461367719
60,3997.6890050526217
61,3829.1481455773696
62,3067.0049001656553
63,1939.6926286030994
64,1334.6703896400452
65,666.8108225804993
66,405.9911995145395
67,167.8099986758819
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,177.86069875629516
76,496.53682474104556
77,1031.0141782305757
78,2192.49800119518
79,3511.7605170248567
80,3331.759618321639
81,2922.6029335481817
82,3104.3344692320684
83,3357.8960923724576
84,3238.2907262909316
85,2768.7463424863395
86,3032.057232769616
87,2441.065517217631
88,1690.8854454962252
89,704.3990996937667
90,287.3998402019682
91,121.23834612902705
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,291.2972568680837
100,489.54223428976013
101,1300.0283085298781
102,2472.909781188092
103,3722.937078601023
104,4219.424236032931
105,4684.152469580161
106,4975.325698496014
107,4768.643985926488
108,4745.177951889142
109,4156.277567373296
110,3691.577673484879
111,3001.3330967399083
112,1963.4483705105647
113,943.4887332118012
114,431.2823218281241
115,167.85283128157442
116,24.663698180181346
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,420.49776116964216
124,815.4344046734441
125,1861.0454898441305
126,2516.7211514823016
127,3765.338821753659
128,4000.105663549236
129,4018.7000639434445
130,3701.888193719351
131,2731.73246508631
132,2453.1295431305903
133,3190.8625731321245
134,3077.0328838216615
135,2425.7417664667882
136,1451.2460606671816
137,782.7118025565508
138,455.9818448763086
139,233.55730341770487
140,29.74702102788704
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,415.26412145372757
148,865.1272139649528
149,2023.6780257317055
150,2965.7612881656405
151,4010.257453618977
152,4269.119376260985
153,4497.168194200605
154,4424.108949422264
155,4133.45618529162
156,3244.946919176345
157,3349.2154198041876
158,3098.294941784943
159,2141.6486675555957
160,1651.8817115514169
161,852.6087129214426
162,448.3966451422364
163,168.12244812973512
164,31.311676423914335
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,63.72548227694733
172,121.71615909056604
173,195.961331621551
174,236.0936795854289
175,372.78598673123935
176,555.4631275978471
177,642.5052148218537
178,794.0838179622242
179,1585.1329486100526
180,1931.6031629647123
181,2002.3386883989813
182,2179.4893267625284
183,1937.9918441659092
184,1063.0724601290551
185,596.8034067675105
186,312.8703458363848
187,152.98178397961107
188,21.71386449261724
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,223.29765666934802
196,406.8910154028101
197,937.1848430874084
198,1421.805454702582
199,1791.6386880813961
200,1723.723405619602
201,2040.974714054471
202,2541.082914786353
203,2050.1824274826226
204,2347.454336906931
205,2542.8041760240703
206,2145.257707527618
207,1131.8608485177108
208,801.764582706127
209,472.67245161707086
210,212.71614410192592
211,57.6172145707263
212,20.04924650602293
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,36.576900724827254
219,85.28492710514222
220,183.95866426489496
221,356.37956832931775
222,805.7186950026938
223,1280.1044983025654
224,1924.7359897298038
225,1981.8848225316567
226,1755.2154590758967
227,1686.828714406581
228,1131.2390726833737
229,943.5356233341358
230,797.5117138424181
231,610.2775237333061
232,482.4469309819087
233,284.71664883349285
234,188.5048981394168
235,80.20087379610243
236,22.641682540640126
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,38.67210311964474
243,106.50896116800868
244,272.6266761944859
245,889.1584072585869
246,1394.9256033934942
247,1811.0886917544133
248,1667.1842080213282
249,1505.3718846376817
250,1502.1933594770385
251,1484.1454223511384
252,2575.257475459837
253,2529.8382463647836
254,2568.0441272444145
255,2065.033524954601
256,1542.5512699940834
257,796.2767897399524
258,548.1703383155763
259,255.13034408506135
260,54.21354173125626
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,61.03342865627304
267,193.98247181680057
268,395.7142991159683
269,897.4923264744838
270,912.1954924190452
271,1027.9282646309796
272,1459.0600601078006
273,1583.0260410617743
274,1721.564717519685
275,1513.2271851073451
276,1146.3753931736587
277,794.5474337099498
278,919.8052313610217
279,906.646299529872
280,626.3988929830888
281,400.04217349818924
282,204.35761365640013
283,60.19762197097623
284,13.753521737126533
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,53.53910620621096
291,180.0998746195605
292,420.3850728257825
293,913.8828427256946
294,1306.1766119431575
295,1710.0896049470948
296,1807.1392943015896
297,2049.298769534499
298,2275.1946158483433
299,2237.9062989084796
300,1876.02949445878
301,1593.4242086032998
302,1869.1255123186963
303,1561.068883187965
304,1147.3438793492758
305,734.1860059084864
306,407.259998893261
307,193.30759670042676
308,29.568809152676195
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,31.629717218566938
315,241.04224968224395
316,441.30886280751963
317,794.3187678696479
318,1053.6903011538436
319,1724.769805923443
320,2547.7805491983763
321,3208.5012800428303
322,3104.373287218539
323,2301.133782823443
324,1721.149258527703
325,1639.1126430269983
326,1358.9113928874178
327,863.8341512657727
328,816.5264703996169
329,359.1875011927165
330,178.13631916509345
331,92.72566868013791
332,31.81713978796907
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,25.126850160423153
339,58.75701125696224
340,203.88225033162533
341,514.5498653863347
342,839.6899674805017
343,1034.3405361219973
344,1152.8322954886298
345,1305.2777370774636
346,1117.5342491101906
347,1462.5744945874646
348,1205.5274838970538
349,1468.3825016519909
350,1363.896276743423
351,1154.092414752466
352,719.2454882461026
353,539.5765017784679
354,254.5959601041086
355,151.42883095464347
356,38.96932653657038
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,39.7063024881344
363,160.3299778414793
364,331.202116488769
365,576.6120332712684
366,867.6214040741941
367,917.1088612566333
368,1435.4429144067747
369,1755.0986810803183
370,1645.892218045133
