,Prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,50.81315758119129
5,156.66034371011403
6,300.47827227274803
7,406.7889653194588
8,480.6056573320916
9,483.11734892246926
10,462.31355967757776
11,443.23121753373476
12,434.8995102976663
13,480.319991139408
14,422.26718291984395
15,295.06750894978165
16,186.93717481908223
17,106.39257879301486
18,32.6054083761461
19,5.862691316019415
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,100.32295324380435
29,218.7819742262247
30,274.6101307796227
31,470.159440107971
32,626.4624977381251
33,688.4608598243879
34,659.407225662334
35,674.5579906689499
36,671.1002278395553
37,628.0080963483146
38,587.277470790166
39,419.17199237247115
40,256.7673677826789
41,136.42025389779482
42,57.39979823592312
43,12.089279539378138
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,34.29448211239384
52,137.56338255790814
53,297.55880423993085
54,492.35562674784006
55,632.2013456652122
56,741.582667994502
57,912.90408758877
58,991.8089422917255
59,909.1538426030778
60,891.1089826619581
61,727.153844892539
62,621.2195520817883
63,409.593720232168
64,270.13664589493163
65,139.94212849527733
66,54.43233554482945
67,14.930846347719438
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,31.628269653373508
76,108.22239615234092
77,232.26764798379526
78,432.8003818424832
79,603.0395717917264
80,636.5202481270499
81,569.1025155453558
82,602.7254804194613
83,602.4841523972808
84,609.1135532435356
85,513.5640946907845
86,633.7879107828833
87,458.9507112603646
88,304.9098733615948
89,140.2641464875893
90,57.57611552342315
91,11.036223391425242
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,56.14436019113034
100,130.33929463698715
101,252.38744356571073
102,415.8991700528999
103,574.5751243147334
104,795.8675974202799
105,830.2439517195552
106,943.2857071600682
107,994.6308627453217
108,938.935241590382
109,785.4406846494456
110,618.6380830716854
111,493.9940840645105
112,365.2387139055074
113,171.77530631577213
114,84.6183325730371
115,25.130541462324693
116,8.179047436967535
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,49.055650648475186
124,141.28243168456163
125,305.4524885583237
126,461.7576651931187
127,643.1315349326136
128,717.2763204714821
129,731.2503724449335
130,792.2994103465724
131,656.6455259149894
132,616.8573947148221
133,717.0955079415422
134,598.2171621045326
135,492.79264791007034
136,333.5667249081036
137,177.46179671048355
138,79.15876933205341
139,25.55845652924135
140,6.4021395233817655
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,50.41772278253726
148,157.85996343356433
149,319.89061148546637
150,489.4986155695996
151,643.8313991520823
152,842.9689021695456
153,907.4186636643476
154,858.3161941725125
155,892.3547509055132
156,826.1334287175748
157,746.8096821839944
158,616.8378061476315
159,468.0383716398597
160,336.5132678109804
161,174.23840912550398
162,89.3154003700281
163,25.77485310838398
164,7.648787444705586
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,11.134972875704833
172,22.090754521283237
173,49.63652914050204
174,88.30491093691691
175,135.2853309050609
176,197.64003448430648
177,204.86974542686244
178,231.65711410913235
179,314.95340044154796
180,314.69525303983727
181,439.0429106425352
182,392.485738752058
183,298.71702895315184
184,211.63868730379028
185,120.5600358927854
186,68.5135344201056
187,23.845552791360078
188,6.344401575941645
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,41.037358344890585
196,87.13224691926254
197,182.90225093355252
198,280.5645839850768
199,357.52108756374196
200,324.3626882714549
201,372.6233883833994
202,417.96736389020805
203,378.94740781797134
204,390.85392392199884
205,451.4638197862142
206,430.5793041255068
207,252.55551498411572
208,119.56638973322192
209,92.16289427183648
210,47.44936497095513
211,5.5825871395885
212,0.3869773963166169
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,2.9735122045348907
219,17.583678642806543
220,30.117884792175133
221,65.12105945160323
222,138.92181056603886
223,317.4022956125161
224,428.60427292718856
225,408.25743944237706
226,383.25853761082175
227,426.3417628607954
228,264.89168925371234
229,210.72247583334712
230,202.66372751691165
231,168.84769161657024
232,98.31517938143949
233,56.49349482811482
234,40.581854661672665
235,10.98458619038471
236,7.754380010023945
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,4.574711841121499
243,21.166003425553775
244,70.73280514144037
245,208.73844444785993
246,280.38943521955025
247,351.3272679254937
248,363.2173907699074
249,262.09255952222827
250,269.7111349642693
251,277.7820368514319
252,426.7566789163145
253,403.1135403507095
254,422.7261890735033
255,315.76820228375226
256,286.47356575376784
257,154.7240036699073
258,97.40922271271747
259,35.00511646619799
260,8.48505886364241
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,9.50911086509097
267,43.64931917170409
268,104.10730225869868
269,177.5642501308108
270,232.60252276720271
271,234.33687451335305
272,358.3461052339202
273,430.5640482162917
274,420.35795915782643
275,417.1098535533109
276,324.70536552833454
277,232.45371117689984
278,221.52264264778864
279,121.70990554373004
280,114.86093771412648
281,88.7175244818563
282,44.869885772443496
283,11.200815373736832
284,0.5005784028204485
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,13.371414580508349
291,43.797898767275186
292,97.41127126482361
293,163.34826215740958
294,237.5966931548062
295,301.8956001790433
296,328.74187115359626
297,352.0879136990992
298,390.97873121734193
299,388.1176750860164
300,406.89435416237166
301,377.24499598041416
302,356.6036824346654
303,241.44935619627046
304,197.27246898020596
305,127.28313968670878
306,76.98000117121411
307,31.989377746147515
308,5.893325048810067
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,7.656168527677155
315,50.19707171208614
316,110.0639318587913
317,172.87029671384948
318,252.05058892785814
319,300.1415436852834
320,486.59919550269683
321,527.6665059287664
322,553.9859123601847
323,506.6835251272675
324,508.7983149056995
325,313.35199919518993
326,236.9578496952073
327,184.91299431148792
328,122.95420181300241
329,70.29119640448303
330,39.41001124947371
331,12.509311065377858
332,1.6544171728778936
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,1.3354240645912243
339,19.971669482304357
340,58.48348625407265
341,104.17695133169973
342,181.26567765544652
343,222.59896188413168
344,288.7717096265887
345,312.24313840951027
346,320.3885651375051
347,358.3095100307698
348,272.6302393240564
349,259.94282075883365
350,246.70603050857991
351,235.07811957207858
352,135.6200127842735
353,99.97490609278906
354,65.50022235446848
355,28.119819879669656
356,6.849332875062461
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,3.839922640379477
363,38.55932360619448
364,82.46442570291937
365,121.59853970242645
366,207.62956959517965
367,254.71020753171715
368,375.8105328969143
369,476.6716454117573
370,466.6831432765076
371,548.1909970658171
372,527.7399626343486
373,371.74010881700553
374,224.63920563813912
375,252.27089351400315
376,222.06317010199842
377,165.16993061235237
378,93.80266605896371
379,28.640273059189838
