,Prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,43.15295348648044
5,99.36045341975228
6,201.30642236475953
7,281.90256594971714
8,393.8380410299297
9,437.02949871126873
10,447.64139849178883
11,420.53814035035015
12,334.4539081004286
13,311.1925874507944
14,293.5103420829999
15,232.8355188731225
16,189.3222210067706
17,93.88445886389854
18,48.065953044113826
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,52.26871603388529
29,112.24073101304737
30,200.5843991179224
31,248.41125530186326
32,420.1623096153535
33,473.6437680963154
34,477.56776002472265
35,468.9637241123744
36,454.9412583475219
37,452.5915719626498
38,469.23566051282
39,336.4810366271939
40,264.1317383331775
41,128.56108021289558
42,55.17716056785525
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,23.3601058701362
52,70.0398693679895
53,150.7407106140653
54,283.7980970681212
55,347.913086012796
56,548.5348261142875
57,616.5282297015847
58,626.3150035195031
59,604.3154735100034
60,547.0036411641858
61,548.8588638137813
62,537.7343362836032
63,320.3096734611451
64,226.68417626655045
65,126.16765702979973
66,76.40542358248143
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,27.52108137709042
76,68.52785469818646
77,146.88952153656447
78,285.78352515222855
79,352.8667840372013
80,543.7402692704372
81,530.8411601992058
82,504.5423694591271
83,494.509279456624
84,449.9718639916441
85,411.2856987713464
86,469.6455243718172
87,366.93886402232533
88,308.0961096652641
89,149.71238085850152
90,70.27126198322016
91,15.961909015350587
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,35.58047469948862
100,80.76844631370774
101,173.0855383808004
102,295.66397370840986
103,372.2254861916464
104,562.1287779621966
105,588.4841957840054
106,614.059106104543
107,625.4624240082411
108,624.7157011148389
109,605.6841342797115
110,571.0317742520359
111,387.5312331615269
112,318.4250787865202
113,176.01202867696946
114,92.49172919833406
115,22.932721250944216
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,35.53396573854483
124,87.40882324164438
125,182.67551916574988
126,297.22851862935136
127,387.8554067655016
128,510.22064538541235
129,509.32573340328645
130,494.15123112682295
131,445.45865107419075
132,427.41150522791264
133,492.48603668561
134,514.7397413427373
135,376.24764606632084
136,266.1667356482911
137,158.5058199029644
138,84.12788220385049
139,22.692354201641443
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,36.23053765288606
148,87.79818381543863
149,183.7012682281166
150,301.91209091650387
151,402.62827486297465
152,595.6236034798089
153,615.746929743674
154,589.1498269796873
155,568.6098805683197
156,553.8881693517765
157,526.3377255560177
158,523.6826829109468
159,371.82839122920194
160,257.98872019634985
161,161.70267960085522
162,84.82473029133843
163,32.1656937388675
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,19.7766134137881
172,35.13670317502468
173,73.77505915551046
174,100.89685055216295
175,125.6306729607968
176,175.00609076758263
177,187.42191328398295
178,191.48876375927048
179,227.91433026846585
180,251.52943732291166
181,284.35260445467173
182,288.1424841336299
183,230.2103719192464
184,187.46106035355268
185,122.26581685850529
186,70.51957547806835
187,35.32729982080747
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,33.96072757934544
196,66.08947840337046
197,122.80594158346764
198,196.32811500630038
199,304.33652745856284
200,410.37561289228233
201,404.5424624089286
202,409.2742672877804
203,442.53033714479847
204,447.4175676373354
205,400.07435848873985
206,401.0453303460056
207,287.47398633875997
208,183.15633376694728
209,108.14413287692973
210,66.17089275917495
211,21.52960257166027
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,10.53687596481649
219,26.7900234660895
220,41.039771932863864
221,82.99514412289305
222,124.1173335762884
223,209.81463552966898
224,268.3834173351572
225,261.23014839455544
226,259.5499067040334
227,258.19782407274636
228,248.20229428395098
229,232.36633388646868
230,219.4837055603044
231,175.43601076548816
232,133.63973228559587
233,86.71674006961304
234,50.713208978336255
235,28.536228368628446
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,5.267578100187382
243,22.471241760422675
244,47.743869953867886
245,127.11406350898713
246,189.57028366613432
247,309.56335557770535
248,337.7538130967883
249,255.24210363152451
250,225.53939473914028
251,252.2334781457322
252,255.49882658488315
253,246.25896586567697
254,251.16689771832426
255,237.5030001721884
256,229.2094746077212
257,176.3709041497334
258,93.5333374646781
259,42.50052595889107
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,11.652747344470821
267,37.65972529272172
268,74.32098228515011
269,148.93308252800193
270,201.82655587550553
271,274.732552639196
272,290.65773785148394
273,309.89783468649324
274,293.7277738623215
275,290.1083537898936
276,307.63640685394006
277,297.2971447464141
278,299.0143166042075
279,259.2425557260629
280,196.66784211378692
281,132.6101197459831
282,71.72672379858298
283,23.106295299535155
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,11.813229344656719
291,38.1275915033709
292,64.53131775822526
293,132.85869418664362
294,192.72034691831308
295,252.2098900485815
296,268.23180577737037
297,277.198852785348
298,318.8985213658759
299,313.77889126635944
300,245.40177409430285
301,242.111990167916
302,242.685236181248
303,208.8822769791329
304,171.5985606474302
305,139.53184484841344
306,79.98048719466966
307,41.67370568908263
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,13.18099718524822
315,39.54471294605672
316,80.17948643650516
317,153.822351363646
318,204.4778426696736
319,292.2203609495138
320,363.0760729333149
321,360.0145175956034
322,349.1331097828614
323,314.623750805754
324,294.29866106702076
325,284.45627617927937
326,254.84790181696158
327,199.62759595788876
328,157.84908868109923
329,108.35878718725573
330,46.03614548503503
331,22.246690456463064
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,6.621143104548769
339,23.494315454537144
340,46.881856256963
341,123.51023525945328
342,154.87199207878095
343,199.14576660385765
344,216.1901990574088
345,240.14376651439508
346,243.0128279429453
347,247.34029507786482
348,244.41791156714845
349,239.75636335262539
350,231.2965840546738
351,205.62258162441736
352,164.55873147423668
353,125.93848757400558
354,70.56397384698894
355,32.04386621652454
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,6.532449905422966
363,35.02811555996436
364,64.12493462104638
365,123.5523227371133
366,156.4882868715222
367,224.86373629794474
368,257.56423316848475
369,277.89294127932897
370,285.7053193904774
371,291.6192036105148
372,299.6722605566663
373,292.8727725503569
374,259.43650939747226
375,223.0284226135874
376,181.84188883926183
377,157.3141270256838
378,85.3074699866259
379,44.73183309785552
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,7.3850642117912875
387,24.641278278035916
388,54.46798091577704
