,Prediction
0,0.0
1,0.6495134830474854
2,10.814258575439453
3,93.08563995361328
4,86.82893371582031
5,1189.7991943359375
6,1613.7357177734375
7,2633.289794921875
8,3332.246826171875
9,2463.218017578125
10,2846.76123046875
11,3244.366455078125
12,3233.320068359375
13,2506.560791015625
14,1807.517578125
15,1372.1644287109375
16,824.4979248046875
17,657.1798706054688
18,0.0
19,0.0
20,23.795576095581055
21,24.723176956176758
22,3.7000272274017334
23,0.0
24,0.0
25,0.0
26,0.0
27,280.20611572265625
28,430.5140686035156
29,1119.7138671875
30,2477.717041015625
31,2847.213623046875
32,4245.22119140625
33,3979.988525390625
34,3970.919189453125
35,4452.65966796875
36,4454.416015625
37,4494.38427734375
38,3160.429443359375
39,2567.810302734375
40,1076.1737060546875
41,608.3629150390625
42,340.25128173828125
43,118.50789642333984
44,124.37799835205078
45,106.48782348632812
46,78.84757232666016
47,7.921205997467041
48,21.717294692993164
49,32.33784103393555
50,30.59473419189453
51,301.6336669921875
52,252.48678588867188
53,851.3269653320312
54,2394.000244140625
55,3452.654541015625
56,3887.735107421875
57,5139.87646484375
58,5083.53564453125
59,4329.0166015625
60,4531.10595703125
61,3593.178955078125
62,3042.997802734375
63,2219.991943359375
64,1204.808349609375
65,568.516357421875
66,468.7111511230469
67,233.51290893554688
68,40.5115852355957
69,13.128809928894043
70,10.321656227111816
71,12.276385307312012
72,0.0
73,15.337129592895508
74,0.0
75,129.8355255126953
76,583.1334228515625
77,709.7284545898438
78,2574.27001953125
79,2903.390625
80,3365.489501953125
81,2801.7119140625
82,2449.593505859375
83,2487.19677734375
84,2055.150390625
85,2477.543701171875
86,2229.210205078125
87,2756.4619140625
88,1357.01611328125
89,567.275634765625
90,407.7499084472656
91,205.72125244140625
92,38.5767822265625
93,0.0
94,11.656209945678711
95,2.0013227462768555
96,0.0
97,35.089317321777344
98,108.05375671386719
99,323.9723205566406
100,465.8675842285156
101,1355.7069091796875
102,3212.08837890625
103,3519.189453125
104,4608.7509765625
105,4239.23828125
106,4852.67529296875
107,3867.093017578125
108,3832.787109375
109,3565.18359375
110,3599.080322265625
111,3870.185302734375
112,1753.769287109375
113,1073.635498046875
114,311.16107177734375
115,319.0267028808594
116,84.8262710571289
117,0.0
118,2.213630437850952
119,5.1749958992004395
120,32.975799560546875
121,14.114757537841797
122,32.02387619018555
123,274.1889343261719
124,594.8102416992188
125,1417.6832275390625
126,2148.687744140625
127,3524.195556640625
128,3680.52685546875
129,2703.081787109375
130,3820.336669921875
131,2728.022705078125
132,2062.97509765625
133,2802.514892578125
134,2823.551513671875
135,1887.10009765625
136,1365.264892578125
137,604.3082885742188
138,422.18963623046875
139,445.7566833496094
140,69.66207885742188
141,26.390897750854492
142,19.189029693603516
143,27.13898277282715
144,32.32170104980469
145,50.9727897644043
146,126.52222442626953
147,368.4521484375
148,622.1261596679688
149,2019.7911376953125
150,2516.9716796875
151,3967.703369140625
152,3711.304443359375
153,3788.017578125
154,3096.56298828125
155,3819.23828125
156,2958.57763671875
157,2912.234130859375
158,2721.6376953125
159,2342.40087890625
160,1853.325439453125
161,541.269287109375
162,366.173828125
