,Prediction
0,7.568427562713623
1,8.430557250976562
2,8.361709594726562
3,19.678598403930664
4,74.92967987060547
5,152.28668212890625
6,292.9350891113281
7,312.8686828613281
8,494.1058654785156
9,616.7114868164062
10,600.8975830078125
11,487.793212890625
12,469.68255615234375
13,436.1869201660156
14,478.2535400390625
15,328.909423828125
16,289.4698486328125
17,189.05491638183594
18,73.93697357177734
19,21.70284080505371
20,0.0
21,0.0
22,0.0
23,1.2759110927581787
24,5.216091632843018
25,3.5865845680236816
26,3.8642783164978027
27,16.352895736694336
28,96.39694213867188
29,247.47283935546875
30,416.0649719238281
31,499.6514892578125
32,559.7288208007812
33,639.129150390625
34,636.9446411132812
35,622.8549194335938
36,658.6121826171875
37,572.9822387695312
38,637.32373046875
39,461.4078063964844
40,360.9612121582031
41,227.9277801513672
42,95.08827209472656
43,37.02326583862305
44,13.722756385803223
45,5.744067192077637
46,0.0
47,11.934170722961426
48,10.598102569580078
49,0.0
50,0.0
51,46.84272003173828
52,155.14869689941406
53,307.3662109375
54,534.0056762695312
55,624.8692626953125
56,873.5382690429688
57,957.8621215820312
58,979.902099609375
59,1012.927978515625
60,953.8517456054688
61,847.8447875976562
62,801.1814575195312
63,550.1655883789062
64,322.6352844238281
65,162.40481567382812
66,86.14055633544922
67,39.1333122253418
68,11.111610412597656
69,17.139667510986328
70,4.299991607666016
71,11.653059005737305
72,0.0
73,0.0
74,0.0
75,23.612354278564453
76,100.97669982910156
77,290.70513916015625
78,503.68658447265625
79,577.8869018554688
80,695.412109375
81,689.55615234375
82,582.426025390625
83,650.0640258789062
84,665.4649047851562
85,667.8516235351562
86,674.7047119140625
87,556.7149658203125
88,448.37481689453125
89,186.9007568359375
90,82.00882720947266
91,24.654481887817383
92,0.0
93,0.0
94,0.0
95,0.0
96,25.326406478881836
97,9.444475173950195
98,16.705121994018555
99,71.41856384277344
100,170.3617706298828
101,319.47906494140625
102,532.7559204101562
103,734.2073364257812
104,828.9652099609375
105,856.838134765625
106,988.3733520507812
107,1029.9661865234375
108,1071.1195068359375
109,870.406005859375
110,759.911376953125
111,604.2095947265625
112,436.4477844238281
113,241.40997314453125
114,100.91291809082031
115,72.25936126708984
116,42.76661682128906
117,22.237815856933594
118,23.335813522338867
119,14.04541301727295
120,49.07269287109375
121,44.72162628173828
122,47.88970947265625
123,114.40528869628906
124,218.76197814941406
125,391.06591796875
126,512.43408203125
127,719.2805786132812
128,807.9012451171875
129,700.0512084960938
130,739.6105346679688
131,772.7842407226562
132,732.5999755859375
133,769.0335693359375
134,604.7626342773438
135,484.3671569824219
136,417.9720764160156
137,172.5531768798828
138,89.07999420166016
139,66.05462646484375
140,32.205013275146484
141,46.77645492553711
142,23.91087532043457
143,19.328683853149414
144,32.19648742675781
145,23.954946517944336
146,32.929710388183594
147,113.6497802734375
148,212.76425170898438
149,421.66888427734375
150,578.2130737304688
151,684.5792236328125
152,888.5621948242188
153,1003.3992919921875
154,1008.787109375
155,884.7822265625
156,871.374755859375
157,816.349365234375
158,728.8809204101562
159,582.2398681640625
160,429.107421875
161,172.47531127929688
162,119.63360595703125
163,52.41934585571289
164,26.566585540771484
165,36.900630950927734
166,40.16550064086914
167,39.0070686340332
168,32.2054557800293
169,20.646467208862305
170,24.833776473999023
171,53.715396881103516
172,73.28031158447266
173,129.36972045898438
174,146.83998107910156
175,219.23268127441406
176,338.6990051269531
177,314.5048522949219
178,346.2598571777344
179,412.2740783691406
180,552.9456176757812
181,594.72705078125
182,503.39923095703125
183,412.48162841796875
184,325.27044677734375
185,213.73086547851562
186,120.35448455810547
187,60.67076110839844
188,46.37303161621094
189,22.645801544189453
190,33.88083267211914
191,28.620365142822266
192,15.26953125
193,15.26953125
194,27.361839294433594
195,84.78124237060547
196,161.89663696289062
197,257.4642028808594
198,345.6324157714844
199,441.64935302734375
200,578.7044677734375
201,526.5667114257812
202,592.6156005859375
203,660.1917114257812
204,674.6612548828125
205,563.2383422851562
206,465.58551025390625
207,442.5090026855469
208,215.70358276367188
209,144.88546752929688
210,100.29080963134766
211,41.9282341003418
212,25.33493995666504
213,23.142841339111328
214,25.658578872680664
215,20.488086700439453
216,17.632112503051758
217,14.669405937194824
218,14.86192512512207
219,47.04750061035156
220,78.5643081665039
221,149.7061004638672
222,251.7460174560547
223,397.024658203125
224,576.8493041992188
225,579.353515625
226,558.20751953125
227,522.675537109375
228,433.27777099609375
229,287.5831298828125
230,253.7357635498047
231,246.09510803222656
232,195.73995971679688
233,137.0985870361328
234,95.59358978271484
235,52.69219970703125
236,14.33851146697998
237,3.8715927600860596
238,6.606846332550049
239,9.597077369689941
240,14.74863052368164
241,13.879467964172363
242,14.963111877441406
243,40.957576751708984
244,83.0541763305664
245,236.5476837158203
246,362.07354736328125
247,518.310546875
248,524.2474365234375
249,372.90667724609375
250,362.8921203613281
251,504.3973693847656
252,435.27313232421875
253,392.1533203125
254,405.08502197265625
255,420.0453796386719
256,377.08184814453125
257,206.9837188720703
258,93.22669219970703
259,67.67527770996094
260,27.02174186706543
261,16.339576721191406
262,10.04808235168457
263,4.5520853996276855
264,35.570884704589844
265,26.275665283203125
266,32.2025260925293
267,72.09888458251953
268,144.32217407226562
269,217.60865783691406
270,327.67779541015625
271,365.87371826171875
272,427.4224853515625
273,463.1192932128906
274,518.8843383789062
275,506.7218322753906
276,503.4139709472656
277,331.6613464355469
278,303.4210205078125
279,248.552001953125
280,237.81532287597656
281,131.052978515625
282,104.72393035888672
283,68.48906707763672
284,26.42854118347168
285,28.71885108947754
286,30.774370193481445
287,29.5113582611084
288,8.139429092407227
289,15.110448837280273
290,27.952373504638672
291,55.27359390258789
292,153.0799560546875
293,211.91592407226562
294,417.7563171386719
295,395.9067687988281
296,402.3642578125
297,506.1139221191406
298,495.9208679199219
299,407.1956481933594
300,395.8441467285156
301,412.861328125
302,396.95623779296875
303,243.40707397460938
304,242.0974884033203
305,202.0116424560547
306,148.11463928222656
307,66.99039459228516
308,18.156038284301758
309,17.5483455657959
310,27.659469604492188
311,21.61652374267578
312,8.846195220947266
313,8.698494911193848
314,14.41771411895752
315,84.0082778930664
316,160.8251190185547
317,274.260986328125
318,398.52777099609375
319,398.0736999511719
320,665.144775390625
321,658.8438720703125
322,701.5956420898438
323,629.5452270507812
324,545.6116943359375
325,512.2962036132812
326,400.42230224609375
327,202.8370819091797
328,245.93421936035156
329,124.89379119873047
330,91.28417205810547
331,46.424800872802734
332,21.605730056762695
333,23.224178314208984
334,19.840547561645508
335,23.443021774291992
336,22.23040199279785
337,23.625967025756836
338,26.123497009277344
339,70.9354476928711
340,77.2762222290039
341,185.18516540527344
342,253.3772735595703
343,335.2916259765625
344,393.7511901855469
345,440.91162109375
346,467.3177490234375
347,409.1053771972656
348,411.06121826171875
349,358.6741027832031
350,324.0124206542969
351,240.9770965576172
352,198.4226531982422
353,209.8068389892578
354,108.2807846069336
355,65.8692398071289
356,27.567495346069336
357,22.570268630981445
358,18.16023063659668
359,23.891311645507812
360,21.27899169921875
361,21.27899169921875
362,21.607860565185547
363,77.87892150878906
364,91.5778579711914
365,190.28184509277344
366,240.80728149414062
367,282.84747314453125
368,506.279541015625
369,543.53564453125
370,591.0851440429688
371,544.560546875
372,574.401611328125
373,477.36859130859375
374,333.79071044921875
375,265.88177490234375
376,287.5267639160156
377,234.6352081298828
378,160.63385009765625
379,71.2504653930664
380,20.60325813293457
381,23.1854305267334
382,22.672630310058594
383,22.795507431030273
384,17.160663604736328
385,17.160663604736328
386,8.983074188232422
387,57.75143814086914
388,61.58399963378906
389,140.20211791992188
390,224.5108642578125
391,311.0314636230469
392,350.148193359375
393,353.9012451171875
394,398.3465576171875
395,398.46923828125
396,480.48944091796875
397,336.6342468261719
398,332.46893310546875
399,265.8495788574219
400,198.66258239746094
401,204.72000122070312
402,153.82177734375
403,89.39241790771484
404,24.84657859802246
405,3.6038930416107178
406,5.191664695739746
407,5.9317827224731445
408,14.081182479858398
409,13.361908912658691
410,26.849763870239258
411,116.01494598388672
412,319.3687744140625
413,499.6341552734375
