,Prediction
0,16.290657181108607
1,17.04349094466587
2,17.04349094466587
3,19.55981376675187
4,52.02173484128329
5,156.04724246301868
6,259.3024671303473
7,386.8133709862898
8,504.6951606917298
9,571.059513989258
10,561.097027445612
11,522.4561199343653
12,458.5888482647042
13,417.8869784379508
14,362.5374178238482
15,272.91691459555125
16,193.3492489494994
17,117.75607709638781
18,46.179148540513296
19,16.3737527838162
20,16.879658130400006
21,16.29514175536345
22,14.295100713871008
23,15.170362391583822
24,24.31960840878884
25,22.96938480018616
26,22.03122184268876
27,30.47549574290159
28,73.99080262492141
29,184.31653343544747
30,295.9268237579315
31,476.8266272183609
32,613.8123557615854
33,708.7574424080559
34,727.0988728261545
35,673.173184492085
36,658.0940930439988
37,611.8222297159125
38,597.5627370957926
39,461.42784836481684
40,296.56339842837906
41,159.50678730061364
42,82.42165962312426
43,41.15106500173004
44,28.68501735533314
45,27.350797474178577
46,24.95579282759074
47,30.315672968361724
48,37.09345767071383
49,31.268712643903065
50,30.030204680144244
51,61.45365937606043
52,132.48303066446442
53,260.57667542822946
54,417.69407817438724
55,625.1379393250409
56,811.1065652959534
57,889.8305507544578
58,1021.7998593466251
59,899.3333230075568
60,783.5658928308263
61,714.9526232617501
62,628.3735821443016
63,422.71851653871914
64,260.0985039884069
65,165.44754099904418
66,87.11333385630284
67,49.03276401983067
68,31.10765573441874
69,29.174528403953087
70,28.546315436989577
71,30.297502630162548
72,17.364567616172977
73,17.662059668057154
74,19.587900566437547
75,28.011208505204
76,87.00515677107235
77,243.10785086408526
78,382.8636777618722
79,580.1747175366077
80,737.0150613999857
81,783.4620617106634
82,737.5894759556259
83,708.8074292026004
84,671.3051847505994
85,602.8714222781168
86,632.8659959170864
87,502.93220800243574
88,338.9620206919157
89,198.88563872347723
90,78.98345095040453
91,40.69237762867443
92,32.48163881514366
93,32.79186742222871
94,30.501292190103864
95,30.088061077302424
96,40.29021789812833
97,30.72305201533442
98,34.90393946580508
99,68.5245661420567
100,145.4543913130663
101,286.42366131986574
102,474.7288716404642
103,646.4234827154919
104,795.1884392002202
105,851.5230111464417
106,907.0728688452746
107,940.8446624709213
108,986.5005379060681
109,796.020584011463
110,743.488064613349
111,546.0113783009893
112,320.27599502463323
113,194.9962573463021
114,107.07213259529773
115,55.767254512792974
116,33.55496160318971
117,40.398204432511065
118,40.812331899395694
119,37.99651498819934
120,39.256164934923106
121,35.50300526715222
122,46.40813708078674
123,87.41063538114291
124,177.8979875529545
125,315.9164736790511
126,467.2298651998637
127,658.5927077705009
128,768.2117380379624
129,772.1470619369222
130,746.985803470717
131,723.2840247416314
132,719.2359843476602
133,705.9450698013267
134,659.8960829018768
135,518.9026390232384
136,326.90941553905355
137,191.6381012149784
138,102.0284171617381
139,60.78418476048256
140,34.614852396904936
141,32.02213239318135
142,31.199778209594932
143,34.61441810446393
144,31.410629266529142
145,29.76586103970837
146,39.360715725030225
147,82.41794751157464
148,174.42890975477482
149,316.23064657590015
150,461.48630836662477
151,671.6600196867831
152,810.1307584924795
153,897.0527702616035
154,878.594203084117
155,847.0911312584171
156,808.8886462505893
157,730.8312323234467
158,646.4223556645965
159,482.8557348247168
160,316.46347156585404
161,195.65236795479666
162,101.01324991217473
163,53.448558892985425
164,33.28501281938381
165,30.616345243865503
166,31.363747652925028
167,31.269486223118825
168,32.26873279010918
169,30.195143406504048
170,30.91610508592222
171,41.86685688739573
172,54.76689694037526
173,82.4983897610782
174,115.31589522952518
175,182.86494573835867
176,226.30998131013567
177,236.87119544125866
178,250.28354354325023
179,324.1331375057785
180,402.7921301907889
181,463.97448723799437
182,428.9545725638599
183,324.58059830699636
184,256.51058763686217
185,152.58998682751778
186,75.30345668533297
187,35.7536984917112
188,31.01662125362346
189,28.814000704590217
190,28.469361263209468
191,27.43951724609741
192,21.528678388276074
193,20.85868274297201
194,25.5287969997445
195,39.04552347373713
196,85.48101332382382
197,125.6183809940103
198,259.45953379891444
199,401.06236948327575
200,460.4632786131377
201,464.81524178405783
202,553.3699766336672
203,545.4447097553552
204,542.1157883138346
205,564.0037207662829
206,488.9276965448914
207,310.2510403038497
208,179.27319372581744
209,109.69649416785553
210,50.39593923029335
211,12.723049592069678
212,9.955432538053303
213,7.492601569031743
214,8.480375707965841
215,7.559090091045888
216,28.526464602916693
217,26.32521433251882
218,26.698309108711165
219,43.59795542060217
220,60.00892859786128
221,94.44597380350255
222,163.4938765404303
223,294.9130869365151
224,418.46510715433544
225,446.43896786141414
226,416.6318875450745
227,404.6942286195537
228,384.07837267551645
229,345.1794432163826
230,308.3340246081703
231,210.88730711275733
232,130.02465122128706
233,89.93784098595492
234,60.909133891884544
235,25.997466920386508
236,21.487952067992175
237,28.482305733641013
238,28.117431520696872
239,30.26908658963894
240,31.722844793620617
241,30.58243950555363
242,31.104323027651443
243,38.4864281565198
244,65.00233379260948
245,149.5426289831071
246,258.3791033738282
247,411.770725381578
248,489.9290779231926
249,298.60566391759147
250,266.5051664176995
251,304.0580521992885
252,344.2108237894637
253,345.2537981039228
254,341.26917054121515
255,299.77010610227086
256,246.1146861917503
257,179.62447110659863
258,84.71303184176134
259,38.91861692000729
260,16.881434025310206
261,15.98873320986044
262,15.755692919438358
263,16.48622584587186
264,27.075682773605653
265,29.245693139971387
266,30.66941687937395
267,51.413842875181324
268,99.83229998554842
269,187.8426127747126
270,286.8921873184809
271,401.88144391554926
272,481.59164119127297
273,517.7870907694771
274,535.4460422276842
275,504.0719093474358
276,482.57835106567967
277,409.39622754345294
278,387.19429655193403
279,288.8163035324996
280,210.96101364607858
281,117.64939422568098
282,62.32695608135751
283,31.89073567048311
284,23.851240488007765
285,24.72981352796421
286,16.65411667711123
287,18.743075235135795
288,22.2327470918474
289,21.430911733140046
290,30.287262000873056
291,45.53931080813147
292,92.97696833193136
293,160.6863674792342
294,306.85162054847893
295,382.21641147359804
296,404.8005554767434
297,430.73647103560097
298,485.70093290697685
299,474.5466746209767
300,417.13448636100804
301,388.1523211229801
302,361.2516619992521
303,281.8620897709346
304,204.5478877561
305,139.0703024998607
306,86.12955345410693
307,37.878802567543396
308,22.172580192791674
309,19.58552868598377
310,19.352488395561686
311,20.049318860864535
312,21.484562031736306
313,22.02839197510949
314,24.026994346133268
315,47.384422674179525
316,121.18833752661105
317,197.9244115763228
318,314.73149151332416
319,400.0658298852425
320,537.7584233121887
321,576.4594406720181
322,585.1406993568196
323,541.9617137015051
324,500.3108444050052
325,417.60236358852154
326,359.4177476771372
327,211.34784727403436
328,139.8575719116458
329,86.56913851942495
330,58.33253091690082
331,33.9689079793784
332,29.43776738472678
333,31.030546137315834
334,31.393116433846853
335,33.391993968979925
336,33.03744539326393
337,33.38219717931676
338,34.420683720061994
339,48.156690414851965
340,83.472224908869
341,149.0238683534188
342,211.59876697039113
343,280.3969145811595
344,351.48463813570413
345,357.0744064333904
346,364.7180750058852
347,390.86172114718437
348,374.75113905384933
349,347.8045288135476
350,335.4140061430442
351,260.47343869108687
352,184.8153588146924
353,111.02700432157343
354,68.70707990518432
355,38.905055348584526
356,29.27675130939391
357,26.374610925425994
358,26.37440473047284
359,27.07123519577568
360,27.464622031379548
361,27.464622031379548
362,28.769086170143847
