iter	Passed	Remaining
0	334	33069
1	520	25528
2	635	20561
3	806	19348
4	977	18568
5	1179	18479
6	1399	18588
7	1575	18115
8	1731	17511
9	1887	16983
10	2038	16491
11	2202	16150
12	2432	16275
13	2611	16043
14	2856	16186
15	3024	15878
16	3177	15515
17	3349	15258
18	3516	14990
19	3646	14584
20	3810	14334
21	3933	13947
22	4277	14321
23	4496	14240
24	4672	14017
25	4827	13738
26	4990	13493
27	5172	13301
28	5328	13046
29	5505	12846
30	5678	12639
31	5888	12512
32	6091	12367
33	6257	12145
34	6407	11900
35	6575	11689
36	6739	11476
37	6879	11223
38	7027	10992
39	7219	10829
40	7388	10632
41	7549	10425
42	7688	10191
43	7840	9978
44	7990	9765
45	8155	9574
46	8294	9353
47	8485	9192
48	8673	9027
49	8842	8842
50	9025	8671
51	9177	8471
52	9329	8273
53	9472	8069
54	9657	7901
55	9809	7707
56	9962	7515
57	10162	7358
58	10387	7218
59	10516	7011
60	10682	6829
61	10831	6638
62	10995	6457
63	11178	6288
64	11325	6098
65	11488	5918
66	11715	5770
67	11916	5607
68	12117	5444
69	12310	5275
70	12629	5158
71	12774	4967
72	12953	4790
73	13117	4608
74	13339	4446
75	13539	4275
76	13712	4096
77	13856	3908
78	14007	3723
79	14078	3519
80	14242	3340
81	14406	3162
82	14499	2969
83	14615	2783
84	14714	2596
85	14815	2411
86	14946	2233
87	15030	2049
88	15125	1869
89	15211	1690
90	15296	1512
91	15390	1338
92	15479	1165
93	15562	993
94	15664	824
95	15748	656
96	15833	489
97	15928	325
98	16030	161
99	16146	0
