iter	RMSE
0	1091.024509
1	1031.516769
2	977.7217158
3	927.9927292
4	882.4122384
5	840.3846421
6	801.2707886
7	766.0355141
8	734.8780379
9	705.2198261
10	678.9246963
11	655.6404075
12	634.2054049
13	614.8468078
14	597.7282241
15	582.0203483
16	567.2604444
17	553.937344
18	541.9053537
19	530.6557877
20	520.7445798
21	511.6801368
22	503.4191517
23	496.1001367
24	489.8237407
25	483.8238797
26	478.5733857
27	474.1820587
28	469.9122714
29	466.2851234
30	462.9026389
31	459.8792037
32	456.8711956
33	453.9463346
34	451.6053381
35	449.4674955
36	447.5573659
37	446.0644402
38	444.374161
39	442.5167448
40	441.0732967
41	439.5666546
42	438.074377
43	436.8804669
44	435.6023034
45	434.533159
46	433.7031381
47	432.9237301
48	431.7021972
49	430.7828202
50	429.9657982
51	429.3104353
52	428.3693946
53	427.7241333
54	427.1988282
55	426.6053037
56	426.0642015
57	425.6382711
58	425.1576025
59	424.5590805
60	424.0511639
61	423.5733094
62	423.0439535
63	422.5450922
64	422.1672596
65	421.5241993
66	420.9981042
67	420.5500697
68	419.9969272
69	419.5990617
70	418.9745355
71	418.5362642
72	418.2187508
73	417.8738703
74	417.2356952
75	416.830138
76	416.2858568
77	415.8257232
78	415.5874014
79	415.376433
80	415.086304
81	414.6920675
82	414.3427188
83	413.7242008
84	413.1157204
85	412.8504267
86	412.4094689
87	412.0841388
88	411.5676708
89	411.2588868
90	410.7624423
91	410.525541
92	410.1595617
93	409.7756572
94	409.5116426
95	409.1107627
96	408.6703508
97	408.210875
98	407.9079914
99	407.5060932
100	407.2750107
101	406.8617045
102	406.5005852
103	406.1774627
104	405.783388
105	405.4886047
106	405.1013659
107	404.8441751
108	404.5685057
109	404.3339489
110	404.181865
111	403.9350086
112	403.3918253
113	402.7451054
114	402.4880171
115	402.1163282
116	401.810827
117	401.5335994
118	401.2192659
119	400.8946841
120	400.6760729
121	400.4654536
122	400.3161538
123	399.9635597
124	399.8108203
125	399.5138299
126	399.2419158
127	399.0269436
128	398.6761907
129	398.35103
130	398.0333473
131	397.7153882
132	397.1663048
133	396.9710938
134	396.6575807
135	396.481865
136	396.0441755
137	395.7023588
138	395.320535
139	394.820519
140	394.4500127
141	394.0263252
142	393.8228484
143	393.5172917
144	393.1522814
145	392.9636018
146	392.5225109
147	392.0892754
148	391.6470337
149	391.2706193
150	390.8983864
151	390.5847334
152	390.4075026
153	390.0943056
154	389.9460419
155	389.5972362
156	389.3780646
157	389.0935457
158	388.7792735
159	388.5536572
160	388.1888193
161	387.9389055
162	387.7498233
163	387.3277158
164	387.044063
165	386.7726037
166	386.4446454
167	386.0321313
168	385.7521159
169	385.3851056
170	385.0743617
171	384.7535553
172	384.5642595
173	384.36875
174	384.1347576
175	383.8226931
176	383.3781782
177	383.1631522
178	382.7721119
179	382.3869886
180	382.2675483
181	382.0293026
182	381.805753
183	381.4887954
184	381.2591024
185	380.9114867
186	380.6320237
187	380.3044341
188	380.0124813
189	379.6955353
190	379.3209737
191	379.0010729
192	378.7896073
193	378.5770067
194	378.378797
195	378.1771267
196	377.9399277
197	377.6022545
198	377.3744156
199	377.258743
200	376.9172613
201	376.5902458
202	376.309519
203	376.0220512
204	375.7334901
205	375.4571447
206	375.3759366
207	375.136278
208	374.9529454
209	374.6539987
210	374.3136588
211	374.0987385
212	373.7868494
213	373.5158945
214	373.3723614
215	373.1503385
216	372.8141663
217	372.493517
218	372.1976545
219	371.8941539
220	371.7277095
221	371.4435189
222	371.1561657
223	370.9413889
224	370.6467087
225	370.4787115
226	370.1344001
227	369.8433052
228	369.4211017
229	369.1683073
230	368.9334892
231	368.6575548
232	368.3947706
233	368.0851938
234	367.8394419
235	367.6620516
236	367.5269178
237	367.2522044
238	366.9657121
239	366.6175373
240	366.2986541
241	366.0067596
242	365.7330315
243	365.2633864
244	364.9846282
245	364.7555213
246	364.5503035
