,Prediction
0,0.0
1,0.0
2,0.0
3,38.30153299031567
4,386.6056495517095
5,1016.1352226037598
6,1858.2201314406764
7,2896.0588142818065
8,2800.0909543226735
9,3042.5148981823886
10,2656.8558826398107
11,2677.829932129464
12,2470.2092068623774
13,2551.846528982595
14,2145.144748589244
15,1511.4481427964777
16,1258.6470156310581
17,538.8353629709064
18,234.91144597695856
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,173.12533125377504
28,603.9260358708273
29,1327.473461761852
30,1967.219796586408
31,2535.7981466081237
32,3799.4512560938456
33,3641.2572898195276
34,3577.526425286911
35,3561.1868397064827
36,4005.801546431648
37,4005.2970773233246
38,2875.7254703667622
39,2663.2142716375038
40,2108.0336628975824
41,1024.5014838028112
42,414.9268931266334
43,64.82960274531605
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,229.46858789248967
52,765.3130857598368
53,1586.178004732894
54,2790.7047413853143
55,3290.788566186245
56,4001.194141113815
57,4736.295317484558
58,5106.807632392745
59,4578.860023482469
60,4440.5158091111525
61,4057.841648028792
62,3249.7115823685394
63,1866.6898604649555
64,1290.2773013291537
65,769.020738778303
66,402.869926837547
67,132.59089629316898
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,28.131626325291435
75,144.40031708353484
76,429.72181280903874
77,1179.0023078390313
78,2203.4908322963
79,4095.312140003808
80,4014.834251349362
81,3284.930941144626
82,3443.6878601130866
83,3310.6517537438926
84,3641.9256354187264
85,3103.9244296929432
86,3523.2286807214823
87,2826.5587341330524
88,2124.6808881010493
89,854.3789695362657
90,322.5500102527822
91,129.32933443625123
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,31.259174510748167
99,212.03326325354584
100,607.6106750067182
101,1321.2235100876314
102,2359.4496679652016
103,3348.014612697129
104,4592.93920809697
105,4723.810559841073
106,4927.668724037098
107,4709.873089405613
108,4520.629012915261
109,4222.259588864651
110,3601.4213529607086
111,2789.3610600877155
112,2069.3209391073815
113,996.6111457755354
114,447.80729114443983
115,173.90368825367224
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,42.771742905024794
123,337.4902203607104
124,817.3112982930406
125,1662.78184375209
126,2605.930391826743
127,3559.481277889627
128,4217.797641452266
129,4089.7783436670643
130,3709.118920044112
131,3202.218779561213
132,3144.5727335786637
133,2993.212612347822
134,2860.6775045658987
135,2600.0109015763114
136,1482.139609636363
137,790.2987204953961
138,467.40556594602464
139,174.73056382369776
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,48.92115499635413
147,340.3975775584726
148,784.8267589523253
149,1732.0354253329022
150,2812.18517808152
151,3880.819356909345
152,4232.892764232838
153,4764.438956748413
154,4493.425271766421
155,4526.230039840913
156,4399.308983631693
157,3046.316008833692
158,3079.7033872258694
159,2483.5929164231497
160,1544.5347834103438
161,887.918311674321
162,472.32557106171447
163,174.95274749157363
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,27.342916355130935
171,66.99760482710631
172,165.5286780355919
173,242.39918722690743
174,295.6724006001631
175,428.3943251561211
176,597.5289503502033
177,623.8345809051619
178,736.5960930189345
179,1558.6461760238046
180,2154.9365242351723
181,2396.475442484404
182,1883.7841593246944
183,1730.4450780122977
184,1198.6658967642431
185,525.5606466380312
186,297.4003291233927
187,133.83133161743018
188,31.809444208462644
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,53.23451291839575
195,178.48413240799394
196,394.7579653396277
197,794.9762404596378
198,1409.7876773558064
199,2288.4251552896544
200,1914.357282760798
201,2161.667085820056
202,2108.4011197489676
203,2087.8334511856106
204,2413.00515699135
205,2366.9702086049456
206,2002.8297668275916
207,1038.9196421000172
208,666.9445179928224
209,400.8251156079434
210,233.8890567354197
211,42.96898130618641
212,27.479784613907512
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,27.4819093769112
219,80.60700851349942
220,186.03597541237752
221,269.8146194519739
222,848.2706501904241
223,989.7739040864458
224,2366.3960712623907
225,2122.4546655471927
226,1844.0255519133593
227,1693.7454438621328
228,1368.7350336049115
229,868.6661584852161
230,703.7306966084809
231,742.3242958495616
232,471.1000380866223
233,308.4881950236542
234,203.08912023703678
235,96.15861412315726
236,27.4819093769112
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,27.4819093769112
243,103.6745313383532
244,310.98782988175736
245,754.1849505963401
246,1230.024869649964
247,2313.547606363537
248,2126.5215317746247
249,1135.900241866999
250,1088.5018544481477
251,894.3993619902164
252,1970.3711245166462
253,2232.8294662011763
254,2404.1183008369085
255,1606.9121006440848
256,1373.2925522177748
257,821.8929875233871
258,488.39318520851975
259,197.10107685724796
260,32.12987526448701
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,59.95898515375592
267,178.0104455636895
268,322.7601554099359
269,617.7736665063035
270,1209.7539268719179
271,1352.478941008502
272,2637.6380765236627
273,2694.2472170448063
274,1466.3429566847128
275,2737.5143166077687
276,2787.289469046068
277,999.2967496914065
278,1036.6330459354033
279,969.829539862631
280,854.3468657212662
281,399.2443790807099
282,259.4606860877379
283,63.52308702615921
284,27.4819093769112
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,95.79511211308613
291,196.1801990003848
292,474.6433785393471
293,767.1294310270465
294,1293.0049532916066
295,1334.847458414094
296,2293.448153710141
297,2221.382856874749
298,2535.7642962462714
299,1957.3733019925812
300,1987.215331477678
301,2294.77089807989
302,1982.810700027288
303,1841.0836023887057
304,993.3446001528982
305,712.3996970171546
306,404.36501826723645
307,175.06552475966018
308,58.85903219398351
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,53.02397282835115
315,232.92607960081713
316,523.5952915640675
317,689.8847500961076
318,1486.1357629037007
319,1762.3177171413745
320,2043.8032670085151
321,3098.654700559675
322,3076.7601193594546
323,2430.810964027673
324,2225.573718175119
325,1739.356972088966
326,1147.2442603083318
327,1060.6347878161714
328,725.9523202887904
329,411.3055130325355
330,182.35766291091494
331,110.66825334466458
332,27.4819093769112
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,27.4819093769112
339,74.18101716381331
340,231.92484988615027
341,391.4849095747044
342,907.5455104837708
343,1121.3684759530959
344,1815.0882707548492
345,1572.1252134619447
346,1805.5754045810024
347,2167.0087367636033
348,2094.578035093183
349,1641.801527244783
350,1287.8508250450823
351,1144.250373029257
352,794.8449052139069
353,537.5423991815883
354,264.2322964288743
355,142.1970756591945
356,34.19387933239675
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,33.630349960894826
363,165.5655944755519
364,298.1561427411743
365,603.6592209064032
366,964.7556267455512
367,1369.5845477208647
368,2025.320742360043
