,Prediction
0,0.0
1,0.0
2,0.0
3,191.24869005209615
4,259.6033015891556
5,301.10575359420994
6,399.38635635098876
7,490.68832082912445
8,558.2183792383245
9,587.7565037773822
10,561.0730557817584
11,524.9133309049082
12,484.3361734299659
13,471.7095021069925
14,469.99526618905077
15,424.6264791276781
16,332.0281617963056
17,291.1695948194533
18,251.35633383030537
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,235.86865214377468
28,258.524486445308
29,322.722539488605
30,393.1164227986276
31,476.4494252257807
32,523.4304019923495
33,580.6443695219717
34,611.2564609922251
35,614.623477671458
36,582.635287199817
37,538.072493882214
38,514.4934861841757
39,459.3087875144372
40,412.09320062209736
41,300.2404454197528
42,257.6284261005561
43,172.91362168377265
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,48.15765791446226
52,113.94593882695516
53,182.98365545667406
54,275.80999619372847
55,369.5364121167795
56,485.6545111878534
57,757.3309908714526
58,880.5165589415423
59,843.6795150588281
60,761.7927448261469
61,682.7000042091662
62,620.1791789550147
63,533.9774912777735
64,387.27354965196923
65,320.907300536177
66,282.03048259132316
67,127.86434856148676
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,62.70780659807602
75,253.80408730906117
76,291.4534493763307
77,366.7227376894445
78,497.9230614269578
79,587.2419841599516
80,563.0120296218547
81,594.5585600979334
82,610.0180105539208
83,631.5080252274597
84,605.5230349048902
85,542.5889972947082
86,554.446220816063
87,568.9656567061947
88,441.75237023489694
89,349.51503749421386
90,283.89214649630725
91,256.2015666881855
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,97.25888893208626
99,266.1175399851602
100,297.64380321809443
101,378.5410155909211
102,498.52851883523607
103,511.69833508875695
104,563.1068231034166
105,655.0124979561061
106,716.0335617786862
107,735.3709708441569
108,816.520055594693
109,620.7056989174737
110,551.3424038378237
111,466.15878034441516
112,399.5728528579878
113,315.3984856032897
114,261.2175562906776
115,256.02508621974044
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,35.2903548881073
123,57.04810429193922
124,102.75505705154346
125,207.9573920408093
126,533.6619566629488
127,521.5034623684843
128,579.4073968059863
129,611.6791814969287
130,633.776529703584
131,589.0735905769211
132,573.1221199133529
133,599.722607587491
134,521.5734969075771
135,497.03761735297877
136,412.88854683291686
137,321.5324074178185
138,281.74784565483844
139,249.30323847856033
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,32.58308945761903
147,60.243949437535896
148,104.90875237888271
149,215.01525786090465
150,311.863375438373
151,591.4761682293424
152,689.0233120675795
153,732.0911686585838
154,710.136420220741
155,717.6204530991644
156,709.3976160874977
157,654.8936057789822
158,581.3171399423542
159,542.8309413518986
160,438.14957968585696
161,338.1058235874737
162,282.57925013740913
163,250.4537896165415
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,69.90231084408762
171,256.3160019181732
172,259.57035048627597
173,277.25577294447294
174,304.44365632272473
175,340.47560165030654
176,388.1904001125409
177,426.94271334069236
178,437.44883158729914
179,466.86926204133243
180,497.87293540730184
181,482.907164275814
182,437.5880670726005
183,438.67230154064356
184,387.76213987096435
185,315.917572478541
186,287.50402062862923
187,256.8966666257452
188,52.95320422800723
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,256.63515188408417
195,270.1186487999982
196,295.8090249493771
197,342.71113108610075
198,405.9186492907088
199,468.0383642558627
200,451.58361590415336
201,523.5281154538861
202,532.2412407658726
203,522.4920681492184
204,536.9693040467922
205,526.2536570355879
206,472.9645232515676
207,397.77644390701215
208,339.55144050580344
209,316.2584469748821
210,280.1407349901173
211,246.68293772606435
212,38.67484628682526
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,73.94635937257166
219,267.45108698381233
220,271.348765796421
221,300.88196886749137
222,374.04040180760614
223,432.75838259511727
224,475.1698818972395
225,521.0484914047083
226,511.5920737368888
227,517.708233596077
228,474.75460359320476
229,445.67556783918707
230,403.2063193570995
231,376.4141866450188
232,338.54139187092613
233,288.89013466677767
234,280.1899980436461
235,242.2151274145629
236,88.12717533863955
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,137.0358226637535
243,255.37924148906387
244,279.96658366026605
245,352.29273883216774
246,401.1209867087864
247,457.4017882903338
248,492.49029392779886
249,424.5930813997986
250,458.00733329661705
251,418.5171137980369
252,448.28195180770774
253,464.2963020288191
254,448.02490084214537
255,431.97143560281125
256,411.5009093190944
257,347.96787973670064
258,281.8915436139886
259,265.3840875766796
260,108.98243317889609
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,243.21502443452547
267,255.24630862838518
268,296.1844750063219
269,345.9468068850873
270,405.3435037597837
271,425.23393856486035
272,450.69505460083525
273,479.6513578068573
274,505.73717358186764
275,485.33229150788185
276,480.6269938848582
277,450.07553112576676
278,415.40458867271457
279,377.1381757236956
280,343.9671836924609
281,312.08285410482273
282,281.9948179389551
283,259.63561983469884
284,64.47898629873211
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,244.40200070093542
291,259.6771046797262
292,302.4221615656616
293,333.16564242538897
294,428.0534373385206
295,439.1809299922437
296,438.3918213184314
297,470.4480384383526
298,474.496685755039
299,478.54520558652564
300,442.995930605239
301,444.94539240550415
302,415.06131308342214
303,370.05003115985147
304,388.6572898769889
305,329.77615233358534
306,277.04333472003276
307,242.47710179407474
308,214.35807518521403
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,242.95301940232952
315,259.65920617237015
316,287.5928542497481
317,360.81670088641266
318,397.68451557942905
319,440.2766529525952
320,500.40659573071764
321,526.1184120767614
322,530.309312368789
323,523.5548109528002
324,484.5861501413039
325,470.3280189154402
326,417.5324582010317
327,347.87936451597625
328,339.8438090467594
329,300.54076037127675
330,265.57526318752053
331,249.96865348054052
332,133.27793626947235
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,114.61218248761335
339,267.8759715829653
340,287.31683147917664
341,334.47070659346707
342,391.4545850262445
343,425.90685575175706
344,475.2007797954041
345,478.84817375226845
346,466.3823842087464
347,465.5608623297329
348,453.47254645046206
349,442.4814129013283
350,422.507062660939
351,371.8911157353983
352,360.63312052298795
353,312.10828770299565
354,277.15098454497127
355,249.9115064661118
356,240.6478072231247
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,240.00274825054282
363,252.2581340719702
364,285.6595458342398
365,313.5831317090394
366,363.84365811777883
367,380.26205110440463
368,455.17933750463345
369,478.64595740142613
370,498.5974463149229
371,511.7314176066491
372,477.5732719679173
373,475.5657207621306
374,408.96197595705974
375,381.2206183609456
376,390.10273467062683
377,327.17679197748
378,302.9483912209442
379,259.56716301342544
