,Prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,256.6555807794294
5,296.766586065537
6,326.5958939158434
7,411.9998797453575
8,460.0757738768056
9,503.3662864230931
10,546.6549708680313
11,535.4757618489284
12,441.4791830316856
13,439.438699478938
14,408.9776346941917
15,412.6841444443153
16,350.52541371454606
17,310.29243354617296
18,265.23592912869776
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,264.59767685158204
29,302.90690466985683
30,349.17260768461193
31,439.6144297003481
32,539.8862430742496
33,599.3299182443392
34,628.4899970003462
35,627.4640257215417
36,618.6990169869699
37,587.4818629245489
38,540.6815229044306
39,474.4604609410428
40,424.02182708429643
41,315.9492268502645
42,317.64342407609803
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,18.64086311890421
52,48.78432800314029
53,103.1256162860187
54,166.97050819982886
55,238.40161402040752
56,349.49052161893434
57,764.2515394724071
58,782.133758447407
59,718.3051739895939
60,658.0012676509156
61,642.4195296633552
62,587.974981259123
63,485.74850968179976
64,418.4585354050892
65,353.5696163737688
66,327.0448663247391
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,265.01003417372135
76,295.72094904341844
77,348.2625679677276
78,433.73184129710893
79,511.8294435339588
80,635.7478538940366
81,677.6332954269824
82,653.1411209162021
83,679.701237817474
84,630.5717366804284
85,604.3658281535829
86,571.8629598489081
87,494.3912192880704
88,450.21650191094886
89,372.9982755947224
90,320.90951078993953
91,283.73881724178796
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,295.0507345684045
100,322.72415774952503
101,376.73674801503176
102,447.57871506729356
103,507.0535924481858
104,646.3254001958604
105,694.9974254310874
106,725.7241676800495
107,824.0564179083667
108,833.9903113514944
109,706.8987620289873
110,621.7660888430569
111,519.8716877851928
112,450.5973390828508
113,384.1211770059886
114,330.4059535460432
115,287.5356548203998
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,26.518880418732962
124,59.22823002685304
125,113.97091774624776
126,461.6368563354955
127,522.1766590188231
128,638.7619399392441
129,649.8102425744041
130,635.5321713631597
131,656.4861544459256
132,654.5099410869453
133,623.2521298194249
134,591.9290361387988
135,495.18732113747836
136,444.46980544755166
137,359.6036729491873
138,335.72534527300996
139,291.9055848971333
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,30.259305739047925
148,62.167101273906006
149,121.33306027007126
150,223.40387971428893
151,547.1063865781181
152,671.1347710067782
153,722.3245278613307
154,695.7956009945141
155,715.0913018070952
156,708.0685356898349
157,633.8315231767573
158,591.4246084575897
159,489.8106016460599
160,440.5521640486887
161,363.8536064494933
162,329.4541355676047
163,288.5421391451035
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,278.3146067923202
172,291.53182273667375
173,310.96567029453695
174,335.73068552359405
175,365.3313635068899
176,418.59384318765314
177,442.19793714768673
178,446.7616683860786
179,508.3467045342572
180,524.7168354504712
181,485.8321983922589
182,494.9782456550732
183,423.86563537883075
184,391.1238063255249
185,349.36365353953903
186,314.6425006898648
187,289.506621230647
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,294.3928661259305
196,313.62745532176103
197,331.22551997408954
198,392.01574271361096
199,457.2857489667532
200,544.9542115756874
201,568.6354587346171
202,572.5073646404452
203,581.1862069254422
204,605.4831706676543
205,569.0479339174343
206,521.7654856427204
207,449.8453581274912
208,366.57338112669436
209,324.48371232044593
210,293.4649516480753
211,261.4645950851229
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,42.832699833632944
219,282.3482336498181
220,295.3682842864267
221,318.87703872102924
222,369.24783935567353
223,431.55381690175454
224,487.86227787681014
225,515.0302961998598
226,522.6008853454362
227,542.8090999677245
228,532.601325753232
229,485.7147835749306
230,473.1947730930268
231,389.7221482464958
232,359.5863273835966
233,320.13768430385863
234,304.82911437634476
235,277.11335807389287
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,165.33903486638897
243,279.2838351083743
244,301.66408069810916
245,337.95710662774803
246,393.7678710044203
247,457.1861429295719
248,501.8842206754607
249,435.93036036505066
250,436.0262488784028
251,490.0967090706464
252,504.7326219734688
253,463.1177832191621
254,452.31670452020643
255,421.69104693626696
256,425.09522659215554
257,359.6307296825848
258,333.3898579513727
259,297.5901560895722
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,280.2087777305057
267,295.10444971782374
268,321.7598133989708
269,352.1347318773566
270,406.8271246167084
271,460.85474512818803
272,501.7642452113265
273,537.9169558681178
274,584.97184089769
275,582.985999771145
276,584.97184089769
277,548.5325738191559
278,511.99056661642163
279,430.34625448041334
280,394.86296454806734
281,338.80018005468736
282,313.5792775754183
283,278.9477962275297
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,267.2802585950647
291,274.3970865248564
292,300.7661568137019
293,326.59781021656204
294,391.00386392224345
295,433.314221475713
296,471.4442835447531
297,469.20231367551975
298,515.7305621333539
299,513.6357947436637
300,490.2078038669197
301,451.1669976641035
302,438.21278752267426
303,405.81734288585
304,376.873018671475
305,329.3297089965678
306,308.8676323504527
307,274.43807853094495
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,259.35571208484765
315,268.21260166921314
316,313.77784307135727
317,334.44760565916636
318,403.2577102267702
319,459.1415218116123
320,528.534319165158
321,563.5593116699407
322,601.354585317063
323,600.6659383617252
324,593.8178520722329
325,547.8980518678322
326,476.8292756095123
327,411.4071212554326
328,376.9767401248344
329,323.3761603119607
330,305.23901110094334
331,278.9477962275297
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,75.27553761131719
339,262.4039618696038
340,305.11226755861514
341,331.67769837960185
342,379.93159834110776
343,420.50163459231464
344,446.2615493918242
345,470.48192482639485
346,510.9223379216122
347,509.4953821099937
348,512.0886006288213
349,470.44118891297626
350,446.2615493918242
351,412.4014531468794
352,384.9270160951101
353,336.38646481129894
354,312.55311535277104
355,288.8841948076091
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,268.396782656351
363,281.72763682226747
364,309.09330063478114
365,328.7125219784222
366,379.2070566301524
367,431.50869365983374
368,487.00236400580155
369,538.9739180068913
370,584.5614965083282
371,593.3876438284649
372,602.0301465034439
373,562.5946386444944
374,508.872433291899
375,452.67025083765014
376,394.7693105888556
377,351.067441415001
378,330.68446331219064
379,288.0971969348886
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,265.70919149448343
387,279.59545117677874
388,314.09925388445293
389,329.95735354139464
